RECORD_TYPE:UOM_UNITS_OF_MEASURE,UOM_CODE,NAME,UOM_CLASS,IS_CLASS_BASE,DESCRIPTION,STANDARD_CONVERSION_RATE
UOM_UNITS_OF_MEASURE,CMT,CMT,VOL3,N,Cubic Meter (Process),35.31466621
UOM_UNITS_OF_MEASURE,BL,BL,CNT,N,Bale (Process),1
UOM_UNITS_OF_MEASURE,TAB,TAB,CNT,N,Tablet (Process),1
UOM_UNITS_OF_MEASURE,BX,BX,PKG,N,Box (Process),1
UOM_UNITS_OF_MEASURE,BTL,BTL,CNT,N,Bottle (Process),100
UOM_UNITS_OF_MEASURE,KEG,KEG,CNT,N,Keg,1
UOM_UNITS_OF_MEASURE,CMS,CMS,LGTH,N,Centimeters (Process),32.80839895
UOM_UNITS_OF_MEASURE,MM,MM,LGTH,N,Millimeters (Process),328.0839895
UOM_UNITS_OF_MEASURE,CMC,CMC,VOL3,N,Cubic Centimeters (Process),353.1472483
UOM_UNITS_OF_MEASURE,CC,Cubic Centimeter,Volume,N,Cubic centimeter,0.00003571
UOM_UNITS_OF_MEASURE,10P,10Pack,Package,N,Package of 10,0.01
UOM_UNITS_OF_MEASURE,CAS,Case,Package,N,Case,1
UOM_UNITS_OF_MEASURE,BK,Book,Quantity,N,Book,1
UOM_UNITS_OF_MEASURE,KT,Kit,Quantity,N,Kit,1
UOM_UNITS_OF_MEASURE,CRD,Card,Quantity,N,Card,1
UOM_UNITS_OF_MEASURE,GR,GR,Quantity,N,GR,1
UOM_UNITS_OF_MEASURE,PR,PR,Quantity,N,PR,1
UOM_UNITS_OF_MEASURE,RM,Ream,Quantity,N,Ream,1
UOM_UNITS_OF_MEASURE,ST,SET,Quantity,N,SET,1
UOM_UNITS_OF_MEASURE,PK,PACK,Quantity,N,PACK,1
UOM_UNITS_OF_MEASURE,TB,TUBE,Quantity,N,TUBE,1
UOM_UNITS_OF_MEASURE,ROL,ROLL,Quantity,N,ROLL,1
UOM_UNITS_OF_MEASURE,PD,POUND,Weight,N,POUND,1
UOM_UNITS_OF_MEASURE,CTN,CARTON,Quantity,N,CARTON,1
UOM_UNITS_OF_MEASURE,REL,Reel,Quantity,N,Reel,1
UOM_UNITS_OF_MEASURE,SHT,Sheet,Quantity,N,Sheet,1
UOM_UNITS_OF_MEASURE,BG,Bag,Quantity,N,Bag,1
UOM_UNITS_OF_MEASURE,PL,Pail,Quantity,N,Pail,1
UOM_UNITS_OF_MEASURE,CS6,Case of 6,Quantity,N,Case of 6,6
UOM_UNITS_OF_MEASURE,GBP,Pounds Sterling,Currency,N,Pounds Sterling,1
UOM_UNITS_OF_MEASURE,BX5,Box of 5,Quantity,N,Box of 5,5
UOM_UNITS_OF_MEASURE,ENR,Enrollment,Training,Y,Enrollment,1
UOM_UNITS_OF_MEASURE,EVT,Event,Training,N,Training Event,1
UOM_UNITS_OF_MEASURE,QRT,Quarter,Time,N,Quarter,2160
UOM_UNITS_OF_MEASURE,CAN,CAN,CNT,N,Can,1
UOM_UNITS_OF_MEASURE,CK,CK,CNT,N,Common Keg,12
UOM_UNITS_OF_MEASURE,PK1,PK1,CNT,N,Party Keg,3
UOM_UNITS_OF_MEASURE,UHR,Util Hour,Util Time,Y,Util Hour,1
UOM_UNITS_OF_MEASURE,UMN,Util Minute,Util Time,N,Utilization Minute,0.01667
UOM_UNITS_OF_MEASURE,UCY,Util Cyc,Util Cycle,Y,Util Cyc,1
UOM_UNITS_OF_MEASURE,RN,Round,Util Gun,Y,Round,1
UOM_UNITS_OF_MEASURE,RN3,Magazine-30 RND,Util Gun,N,Magazine-30 Rounds,30
UOM_UNITS_OF_MEASURE,RN6,Magazine-60 RND,Util Gun,N,Magazine-60 Rounds,60
UOM_UNITS_OF_MEASURE,R02,R02,Oil Temp H,Y,R02,1
UOM_UNITS_OF_MEASURE,R01,R01,Oil Temp L,Y,R01,1
UOM_UNITS_OF_MEASURE,R03,R03,Hyd Pres H,Y,R03,1
UOM_UNITS_OF_MEASURE,R04,R04,Hyd Pres L,Y,R04,1
UOM_UNITS_OF_MEASURE,Y01,Y01,Lightning,Y,Y01,1
UOM_UNITS_OF_MEASURE,Y02,Y02,BirdStrike,Y,Y02,1
UOM_UNITS_OF_MEASURE,Y03,Y03,EmerBrake,Y,Y03,1
UOM_UNITS_OF_MEASURE,CWT,CWT,Weight,N,Hundredweight,100
UOM_UNITS_OF_MEASURE,10R,1000FTREEL,Length,N,1000 foot wire reel,1000
UOM_UNITS_OF_MEASURE,MW,MEGAWATTS,Power,N,Million Watts,1000000
UOM_UNITS_OF_MEASURE,MCF,MILLIONCUFEET,Volume,N,Millions of Cubic Feet,1000000
UOM_UNITS_OF_MEASURE,VLT,Volt,VOLT,Y,Volt,1
UOM_UNITS_OF_MEASURE,KV,KILOVOLT,VOLT,N,Kilo Volt,1000
UOM_UNITS_OF_MEASURE,Szt,Sztuki,PL Ilosc,Y,Sztuki,1
UOM_UNITS_OF_MEASURE,uF,Micro Farads,CAP,Y,Micro Farads,1
UOM_UNITS_OF_MEASURE,nF,Nano Farads,CAP,N,Nano Farads,0.001
UOM_UNITS_OF_MEASURE,pF,Pico Farads,CAP,N,Pico Farads,0.000001
UOM_UNITS_OF_MEASURE,%,%,Percent,Y,%,1
UOM_UNITS_OF_MEASURE,C,Celsius,Celsius,Y,Celsius,1
UOM_UNITS_OF_MEASURE,CPU,CPU,CPU,Y,CPU,1
UOM_UNITS_OF_MEASURE,GHz,GHz,CPU2,Y,GHz,1
UOM_UNITS_OF_MEASURE,MHz,MHz,CPU2,N,MHz,0.001
UOM_UNITS_OF_MEASURE,BBD,bbls/day,PFlow,Y,bbls/day,1
UOM_UNITS_OF_MEASURE,BBH,bbls/hr,PFlow,N,bbls/hr,24
UOM_UNITS_OF_MEASURE,BBM,bbls/min,PFlow,N,bbls/min,1440
UOM_UNITS_OF_MEASURE,MCD,mcf/day,GFlow,Y,mcf/day,1
UOM_UNITS_OF_MEASURE,MCH,mcf/hr,GFlow,N,mcf/hr,24
UOM_UNITS_OF_MEASURE,MCM,mcf/min,GFlow,N,mcf/min,1440
UOM_UNITS_OF_MEASURE,MG,MG,MASS,N,Milligram (Process),2.20462E-06
UOM_UNITS_OF_MEASURE,mm,mm,Height,Y,mm,1
UOM_UNITS_OF_MEASURE,cm,cm,Height,N,cm,10
UOM_UNITS_OF_MEASURE,PCT,Percent,Quantity,N,Percentage,1
UOM_UNITS_OF_MEASURE,å¡F,Farenheit,Celsius,N,Farenheit,2
UOM_UNITS_OF_MEASURE,BLD,Barrels Per Day,PFlow Rate,Y,Barrels Per Day,1
UOM_UNITS_OF_MEASURE,BLH,Barrels Per Hour,PFlow Rate,N,Barrels Per Hour,24
UOM_UNITS_OF_MEASURE,BLM,Barrels Per Minute,PFlow Rate,N,Barrels Per Minute,1440
UOM_UNITS_OF_MEASURE,MFD,MCS Per Day,GFlow Rate,Y,MCS Per Day,1
UOM_UNITS_OF_MEASURE,MFH,MCS Per Hour,GFlow Rate,N,MCS Per Hour,24
UOM_UNITS_OF_MEASURE,MFM,MCS Per Minute,GFlow Rate,N,MCS Per Minute,1440
UOM_UNITS_OF_MEASURE,CS1,Case of 1000,Quantity,N,Case of 1000,1000
UOM_UNITS_OF_MEASURE,C10,Case of 10,Quantity,N,Case of 10,10
UOM_UNITS_OF_MEASURE,C16,Case of 160,Quantity,N,Case of 160,160
UOM_UNITS_OF_MEASURE,C12,Case of 12,Quantity,N,Case of 12,12
UOM_UNITS_OF_MEASURE,C20,Case of 20,Quantity,N,Case of 20,20
UOM_UNITS_OF_MEASURE,C50,Case of 50,Quantity,N,Case of 50,50
UOM_UNITS_OF_MEASURE,mg,Milligrams,SMASS,Y,Milligrams,1
UOM_UNITS_OF_MEASURE,g,Grams,SMASS,N,Grams,1000
UOM_UNITS_OF_MEASURE,SAC,SAC,PKG,N,Sack (Process),1
UOM_UNITS_OF_MEASURE,CAP,CAP,CNT,N,Capsule (Process),1
UOM_UNITS_OF_MEASURE,ML,Miles,Miles,Y,Miles,1
UOM_UNITS_OF_MEASURE,ea,EACH,Quantity,N,EACH,1
UOM_UNITS_OF_MEASURE,AHR,APU Hour,APU_Time,Y,APU Hour,1
UOM_UNITS_OF_MEASURE,AGH,APU Ground Hour,APU_Grd,Y,APU Ground Hour,1
UOM_UNITS_OF_MEASURE,THR,Transit Hour,Transit,Y,Transit Hour,1
UOM_UNITS_OF_MEASURE,EUR,Euros,Currency,N,Euro,1
UOM_UNITS_OF_MEASURE,WKY,Weekly,ChargePer,N,Weekly (Recurring),1
UOM_UNITS_OF_MEASURE,CPE,ChargePer,ChargePer,Y,ChargePer,1
UOM_UNITS_OF_MEASURE,MLY,Monthly,ChargePer,N,Monthly (Recurring),1
UOM_UNITS_OF_MEASURE,ALY,CP_Annually,ChargePer,N,Annually (Recurring),1
UOM_UNITS_OF_MEASURE,QLY,CP_Quarterly,ChargePer,N,Quarterly (Recurring),1
UOM_UNITS_OF_MEASURE,WLY,CP_Weekly,ChargePer,N,Weekly (Recurring),1
UOM_UNITS_OF_MEASURE,m,m (meter),MLENGTH,Y,m (meter),1
UOM_UNITS_OF_MEASURE,Kg,Kg (kilogram),MMASS,Y,Kg (kilogram),1
UOM_UNITS_OF_MEASURE,l,l (liter),MVOLUME,Y,l (liter),1
UOM_UNITS_OF_MEASURE,Cm,Cm (centimeter),MLENGTH,N,Cm (centimeter),0.01
UOM_UNITS_OF_MEASURE,Dm,Dm (decimeter),MLENGTH,N,Dm (decimeter),0.1
UOM_UNITS_OF_MEASURE,Km,Km (kilometer),MLENGTH,N,Km (kilometer),1000
UOM_UNITS_OF_MEASURE,Mm,Mm (millimeter),MLENGTH,N,Mm (millimeter),0.001
UOM_UNITS_OF_MEASURE,Cg,Cg (centigram),MMASS,N,Cg (centigram),0.01
UOM_UNITS_OF_MEASURE,Gm,Gm (gram),MMASS,N,Gm (gram),0.001
UOM_UNITS_OF_MEASURE,Mg,Mg (milligram),MMASS,N,Mg (milligram),0.000001
UOM_UNITS_OF_MEASURE,Cl,Cl (centiliter),MVOLUME,N,Cl (centiliter),0.01
UOM_UNITS_OF_MEASURE,Dl,Dl (deciliter),MVOLUME,N,Dl (deciliter),0.1
UOM_UNITS_OF_MEASURE,Kl,Kl (kiloliter),MVOLUME,N,Kl (kiloliter),1000
UOM_UNITS_OF_MEASURE,Ml,Ml (milliliter),MVOLUME,N,Ml (milliliter),0.001
UOM_UNITS_OF_MEASURE,H,H,Time,N,Hour,1
UOM_UNITS_OF_MEASURE,WCS,WMS Case,Quantity,N,Case for use in WMS,25
UOM_UNITS_OF_MEASURE,WPL,WMS Pallett,Quantity,N,Pallett for use in WMS,100
UOM_UNITS_OF_MEASURE,FC,Flight Cycle,Quantity,N,Flight Cycle,1
UOM_UNITS_OF_MEASURE,QTR,Quarterly,Period,N,Quarterly,1
UOM_UNITS_OF_MEASURE,BWK,Bi-Weekly,Period,N,Bi-Weekly,1
UOM_UNITS_OF_MEASURE,HYR,Half Yearly,Period,N,Half Yearly,1
UOM_UNITS_OF_MEASURE,DY,DAY,TIME,N,Day,1
UOM_UNITS_OF_MEASURE,AMT,Amount,ACTM,N,Amount,1
UOM_UNITS_OF_MEASURE,CYC,Cycle,Quantity,N,Cycle,1
