RECORD_TYPE:PURCHASE_ORDER_RECEIPT_LINES,RECEIPT_LINE,RECEIPT_ID,RECEIPT_DATE,DEVICE,RCV_QTY,UOM,GEOGRAPHY_ID,PO_ID,PO_RELEASE_ID,PO_REVISION_NUM,PO_LINE_ID,PO_SHIPMENT_ID,P_ACCOUNTING_ID,DELIVER_TO_GEOGRAPHY_ID,DELIVER_TO_PERSON_ID,RECEIPT_LINE_NOTES,SUPPLIER_LOT_BATCH_REF,INITIAL_QTY,CORRECTED_QTY,CORRECTIONS,LAST_CORRECTION_DATE
PURCHASE_ORDER_RECEIPT_LINES,5848965,5787245,8-Nov-15,PC,18.4,WK,204,117892,,,182479,283800,,,,,,18.4,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5785590,5723956,10-Dec-15,PC,100,Ea,18168,119150,,,184061,287763,294572,,,,,100,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2786358,2625280,31-Aug-13,PC,50,Ea,207,49568,93063,,60571,194055,199422,207,57,,,50,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735254,2574347,10-Aug-13,PC,148,Ea,209,32987,93080,1,38536,194117,199484,209,57,,,148,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4148843,4040634,1-Dec-14,PC,500,Ea,209,100813,,,160705,240132,246349,209,,,,500,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735214,2574327,10-Aug-13,PC,236,Ea,209,32837,93068,2,38283,194069,199436,209,57,,,236,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3194762,3063900,20-Feb-14,PC,27,Ea,20795,89496,,0,144048,213821,219511,20795,25,,,27,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735154,2574297,10-Aug-13,PC,22,Ea,209,32837,92228,2,38290,192705,198012,209,57,,,22,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2820582,2661308,25-Sep-13,PC,50,Ea,,82605,,,110523,197825,203263,,,,,50,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3099215,2970819,22-Jan-14,PC,20,Ea,20795,87854,,0,141955,211060,216666,20795,25,,,20,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3134253,3006836,5-Feb-14,PC,175,HRS,20795,88553,,0,142783,212190,217861,20795,31,,,175,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3066985,2936808,11-Jan-14,PC,4.1,WK,20795,87297,,0,141232,209928,215528,20795,31,,,4.1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4013777,3898603,7-Dec-14,PC,5,Ea,207,32987,115895,1,38536,240247,246467,207,25,,,5,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5848692,5787166,20-Dec-15,PC,34,Ea,20795,119719,,0,184768,289357,296215,20795,25,,,34,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2638154,2481297,12-Jul-13,PC,145,Ea,209,32837,91322,2,38290,191061,196292,209,57,,,145,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735146,2574293,10-Aug-13,PC,220,Ea,207,52142,92225,0,63926,192691,197998,207,57,,,220,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3107057,2978809,24-Jan-14,PC,22,HRS,20795,87964,,0,142094,211200,216832,20795,25,,,22,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2624956,2468192,10-Jul-13,PC,26,Ea,20795,79667,,0,99875,190538,195784,20795,31,,,26,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4011757,3896604,1-Jun-14,PC,1200,Ea,209,100780,,0,160612,240039,246256,209,57,,,1200,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3724505,3601558,19-Oct-14,PC,4.3,WK,20795,97627,,0,156775,232733,238814,20795,31,,,4.3,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735072,2574256,10-Aug-13,PC,121,Ea,209,32984,91713,1,38529,191819,197086,209,57,,,121,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2791328,2630276,14-Sep-13,PC,208,HRS,20795,82054,,0,105190,196849,202269,20795,31,,,208,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3627629,3495560,18-Sep-14,PC,3.9,WK,20795,96692,,0,155281,230175,236158,20795,31,,,3.9,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3499345,3369370,12-Jul-14,PC,100,Ea,,94517,,,151842,224767,230687,,,,,100,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3190776,3059901,19-Feb-14,PC,100,Ea,,89438,,,143990,213737,219433,,,,,100,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4262953,4158628,25-Jan-15,MOBILE,1,Ea,2402,103329,,0,164035,246664,,,,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3524500,3394406,31-Jul-14,PC,20,HRS,20795,94863,,0,152365,225589,231545,20795,25,,,20,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735192,2574316,10-Aug-13,PC,5,Ea,209,32986,92239,1,38534,192776,198083,209,57,,,5,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5848912,5787235,21-Dec-15,PC,54,Ea,209,32987,146482,1,38536,289767,296646,209,25,,,54,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3010439,2864589,12-Dec-13,PC,4.1,WK,20795,86136,,0,139487,207331,212856,20795,25,,,4.1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3524508,3394406,31-Jul-14,PC,24,HRS,20795,94863,,0,152365,225589,231553,20795,25,,,24,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735122,2574281,10-Aug-13,PC,20,Ea,207,32985,92219,1,38533,192670,197977,207,57,,,20,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2931485,2781460,10-Nov-13,PC,3.9,WK,20795,84779,,0,136330,204478,209888,20795,25,,,3.9,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4262963,4158632,25-Jan-15,MOBILE,4,Ea,2402,103329,,0,164035,246664,,,,,,4,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2741224,2580262,22-Aug-13,PC,20,Ea,,81346,,,104143,194520,199887,,,,,20,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4011795,3896612,1-Nov-13,PC,800,Ea,209,100734,,0,160513,239930,246157,209,57,,,800,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2935611,2785472,13-Nov-13,PC,1,Ea,204,84918,,0,137696,204823,210242,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4148855,4040635,1-Nov-14,PC,500,Ea,209,100808,,,160691,240118,246335,209,,,,500,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3066917,2936803,11-Jan-14,PC,26,Ea,20795,87290,,0,141225,209921,215488,20795,31,,,26,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3302985,3174103,27-Apr-14,PC,4.1,WK,20795,91684,,0,147500,218311,224174,20795,31,,,4.1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3159752,3030887,12-Feb-14,PC,1,EA,204,88974,,0,143326,212894,218580,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2684278,2527357,27-Jul-13,PC,20,Ea,209,32838,92229,1,38301,192713,198020,209,57,,,20,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4262942,4158624,25-Jan-15,MOBILE,1,Ea,2402,103329,,0,164035,246664,,,,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2908248,2760429,19-Oct-13,PC,51,Ea,20795,84113,,,135296,202983,208372,20795,31,,,51,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2684220,2527328,27-Jul-13,PC,408,Ea,207,32842,92214,3,38324,192648,197955,207,57,,,408,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3218945,3089920,2-Mar-14,PC,1,Ea,204,89990,,0,144689,214508,220288,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2861754,2712345,10-Oct-13,PC,193,HRS,20795,83684,,0,133345,201867,207251,20795,31,,,193,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3287949,3159093,18-Apr-14,PC,50,Ea,,91382,,,147158,217810,223630,,,,,50,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4902345,4822891,3-Jul-15,PC,2800,Ea,209,110478,,0,173469,264785,271254,209,57,,,2800,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3099217,2970819,22-Jan-14,PC,20,Ea,20795,87854,,0,141955,211060,216683,20795,25,,,20,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2638126,2481283,12-Jul-13,PC,145,Ea,209,32844,91329,1,38346,191108,196339,209,57,,,145,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3252947,3123093,3-Apr-14,PC,4.1,WK,20795,90658,,0,145944,216257,222100,20795,31,,,4.1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5785586,5723956,10-Dec-15,PC,100,Ea,18168,119150,,,184068,287770,294579,,,,,100,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3644302,3512529,21-Sep-14,PC,1,EA,204,87211,,,141023,209541,215086,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2908274,2760436,25-Sep-13,PC,4,Ea,,82523,,,105811,197672,203110,,,,,4,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3333147,3204139,9-May-14,PC,26,Ea,20795,92138,,0,148122,219075,224956,20795,31,,,26,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3627625,3495560,18-Sep-14,PC,3.9,WK,20795,96692,,0,155281,230175,236156,20795,31,,,3.9,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2638120,2481280,12-Jul-13,PC,534,Ea,209,32843,91328,2,38337,191105,196336,209,57,,,534,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3395657,3265238,5-Jun-14,PC,165,HRS,20795,93055,,0,149526,221192,227081,20795,31,,,165,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3194760,3063900,20-Feb-14,PC,23,Ea,20795,89496,,0,144048,213821,219510,20795,25,,,23,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5736572,5672958,2-Dec-15,PC,4.2,WK,20795,118612,,0,183241,286261,293050,20795,31,,,4.2,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5848954,5787243,3-Nov-15,PC,800,Ea,,117435,,,181927,282649,289318,,,,,800,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4011963,3896658,1-Apr-14,PC,800,Ea,209,100772,,0,160588,240015,246232,209,57,,,800,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2753268,2592274,28-Aug-13,PC,136,Ea,209,32837,93394,,38283,194987,200374,209,57,,,136,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2935581,2785470,13-Nov-13,PC,155,HRS,20795,84915,,0,137683,204810,210222,20795,31,,,155,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4013769,3898602,7-Dec-14,PC,9,Ea,207,32984,115893,1,38531,240235,246455,207,25,,,9,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3094031,2965808,19-Jan-14,PC,1,Ea,204,87742,,0,141773,210858,216465,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2660046,2503243,19-Jul-13,PC,175,Ea,207,32840,91306,1,38309,190993,196224,207,57,,,175,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2960915,2810519,21-Nov-13,PC,35,Ea,20795,85350,,0,138301,205578,211043,20795,25,,,35,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3782649,3659579,29-Oct-14,PC,30,HRS,20795,98096,,0,157414,233892,240035,20795,25,,,30,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4669013,4576862,14-May-15,PC,1,Ea,204,108008,,0,170316,258829,265298,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4013751,3898598,7-Dec-14,PC,7,Ea,207,32987,115875,1,38535,240179,246396,207,25,,,7,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2684094,2527265,27-Jul-13,PC,550,Ea,207,32841,91690,1,38319,191717,196984,207,57,,,550,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3211832,3082910,28-Feb-14,PC,3.8,WK,20795,89881,,0,144518,214268,220006,20795,31,,,3.8,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3482337,3352375,9-Jul-14,PC,37,Ea,20795,94326,,0,151616,224265,230178,20795,31,,,37,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4011715,3896593,7-Sep-13,PC,1,EA,204,81626,,0,104640,196071,201438,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2684176,2527306,27-Jul-13,PC,245,Ea,209,32844,91711,1,38347,191812,197079,209,57,,,245,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3094037,2965809,19-Jan-14,PC,1,Ea,204,87745,,0,141776,210861,216468,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5857869,5795436,3-Jan-16,PC,202,HRS,20795,120037,,0,185696,290953,297712,20795,31,,,202,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3099231,2970819,22-Jan-14,PC,31,Ea,20795,87854,,0,141955,211060,216674,20795,25,,,31,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2638190,2481315,12-Jul-13,PC,1045,Ea,207,32840,91306,1,38316,190998,196229,207,57,,,1045,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2659952,2503196,19-Jul-13,PC,175,Ea,207,49568,91317,0,60571,191042,196273,207,57,,,175,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5878414,5814872,24-Feb-16,PC,30,Ea,,120573,,,187142,293322,300018,,,,,30,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4734003,4643843,2-Jun-15,PC,1,Ea,204,108790,,0,171240,260512,266981,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2638176,2481308,12-Jul-13,PC,534,Ea,209,32839,91324,1,38306,191079,196310,209,57,,,534,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2942657,2792486,14-Nov-13,PC,50,Ea,,85023,,,137790,204947,210386,,,,,50,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735212,2574326,10-Aug-13,PC,236,Ea,209,32837,93068,2,38282,194068,199435,209,57,,,236,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3218927,3089916,2-Mar-14,PC,158,HRS,20795,89985,,0,144682,214498,220272,20795,31,,,158,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3619237,3488506,10-Sep-14,PC,50,Ea,,96567,,,154993,229714,235694,,,,,50,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2684136,2527286,27-Jul-13,PC,245,Ea,209,32840,91707,1,38314,191778,197045,209,57,,,245,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2983114,2834534,1-Dec-13,PC,100,Ea,204,85712,,,138810,206347,211866,204,59,,,100,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2736078,2575259,10-Aug-13,PC,25,Ea,209,32985,93091,1,38533,194140,199507,209,57,,,25,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735240,2574340,10-Aug-13,PC,1,Ea,209,32844,93075,1,38346,194099,199466,209,57,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2684244,2527340,27-Jul-13,PC,117,Ea,207,32987,92221,1,38536,192674,197981,207,57,,,117,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3647289,3515520,1-Oct-14,PC,3.9,WK,20795,96931,,0,155623,230671,236693,20795,31,,,3.9,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4902353,4822893,3-Jul-15,PC,1000,Ea,209,110481,,0,173475,264791,271260,209,57,,,1000,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2905250,2754397,30-Oct-13,PC,24,HRS,20795,84315,,0,135557,203337,208735,20795,25,,,24,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5878440,5814880,24-Feb-16,PC,55,Ea,,120578,,,187158,293338,300034,,,,,55,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3061735,2932781,10-Jan-14,PC,1,Ea,204,87212,,,141025,209547,215092,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3476231,3347326,6-Jul-14,PC,184,HRS,20795,94223,,0,151384,223925,229841,20795,31,,,184,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2684134,2527285,27-Jul-13,PC,872,Ea,209,32840,91707,1,38313,191775,197042,209,57,,,872,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4680997,4589842,16-May-15,PC,50,Ea,,108211,,,170576,259227,265696,,,,,50,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735198,2574319,10-Aug-13,PC,50,Ea,207,32844,93056,1,38340,194035,199402,207,57,,,50,0,0,
PURCHASE_ORDER_RECEIPT_LINES,6115904,6062969,1-Mar-16,PC,1900,Ea,,100793,,,160648,240075,246292,,,,,1900,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3205784,3076904,22-Feb-14,PC,5,Ea,204,89777,,,144414,214114,219834,204,,,,5,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2660160,2503300,19-Jul-13,PC,122,Ea,209,32837,91704,2,38291,191761,197028,209,57,,,122,0,0,
PURCHASE_ORDER_RECEIPT_LINES,6192439,6144216,22-Jun-16,PC,600,Ea,,100758,,,160552,239969,246196,,,,,600,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3108029,2979803,24-Jan-14,PC,35,Ea,207,7917,100102,,7964,211380,217006,207,57,,,35,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3365405,3236176,22-May-14,PC,27,Ea,20795,92597,,0,148843,220172,226045,20795,25,,,27,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3782660,3659581,29-Oct-14,PC,4.3,WK,20795,98097,,0,157415,233893,240038,20795,31,,,4.3,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5715620,5652969,21-Nov-15,PC,1,Ea,204,117893,,0,182480,283801,290560,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2668128,2511267,21-Jul-13,PC,31,Ea,20795,80327,,0,100713,192091,197383,20795,25,,,31,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4011721,3896595,1-Nov-13,PC,1200,Ea,209,100735,,0,160514,239931,246158,209,57,,,1200,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2684126,2527281,27-Jul-13,PC,350,Ea,209,32839,91706,1,38307,191768,197035,209,57,,,350,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5848858,5787231,20-Dec-15,PC,65,Ea,209,32985,146480,1,38532,289746,296625,209,25,,,65,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2724130,2562260,8-Aug-13,PC,178,HRS,20795,81055,,0,101759,193719,199046,20795,31,,,178,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3066981,2936808,11-Jan-14,PC,4.1,WK,20795,87297,,0,141232,209928,215532,20795,31,,,4.1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4733993,4643841,2-Jun-15,PC,1400,Ea,209,108792,,0,171244,260516,266985,209,57,,,1400,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3677411,3548537,9-Oct-14,PC,1,Ea,204,97340,,0,156359,231826,237913,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4015747,3900598,7-Dec-14,PC,5,Ea,207,32987,115875,1,38535,240184,246401,207,25,,,5,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2791318,2630276,14-Sep-13,PC,208,HRS,20795,82054,,0,105190,196849,202264,20795,31,,,208,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3218925,3089916,2-Mar-14,PC,158,HRS,20795,89985,,0,144682,214498,220271,20795,31,,,158,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4902341,4822890,3-Jul-15,PC,1400,Ea,209,110479,,0,173472,264788,271257,209,57,,,1400,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5715608,5652966,21-Nov-15,PC,2800,Ea,209,117431,,0,181919,282641,289310,209,57,,,2800,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3107047,2978809,24-Jan-14,PC,20,HRS,20795,87964,,0,142094,211200,216843,20795,25,,,20,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3252985,3123095,3-Apr-14,PC,1,EA,204,90700,,0,146086,216419,222279,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4503693,4407782,7-Apr-15,PC,1,Ea,204,106188,,0,168032,254349,260739,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4014765,3899602,7-Dec-14,PC,10,Ea,207,32987,115895,1,38536,240251,246471,207,25,,,10,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735162,2574301,10-Aug-13,PC,22,Ea,209,32840,92231,1,38314,192726,198033,209,57,,,22,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4512655,4416782,8-Mar-15,PC,1500,Ea,,104805,,,166098,250583,256949,,,,,1500,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4011919,3896645,1-Nov-14,PC,1100,Ea,209,100806,,0,160684,240111,246328,209,57,,,1100,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3782655,3659579,29-Oct-14,PC,30,HRS,20795,98096,,0,157414,233892,240033,20795,25,,,30,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4011983,3896663,1-Sep-14,PC,800,Ea,209,100797,,0,160658,240085,246302,209,57,,,800,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735256,2574348,10-Aug-13,PC,50,Ea,207,32840,93052,1,38309,194020,199387,207,57,,,50,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3231971,3102102,21-Mar-14,PC,31,Ea,20795,90315,,0,145476,215567,221382,20795,25,,,31,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3339189,3210154,10-May-14,PC,10,Ea,,92277,,,148365,219382,225262,,,,,10,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3293975,3165094,20-Apr-14,PC,37,Ea,20795,91461,,0,147229,217964,223798,20795,25,,,37,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2908260,2760433,28-Sep-13,PC,9000,Lbs,,83125,,,131421,200867,206245,,,,,9000,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3333133,3204138,9-May-14,PC,3.9,WK,20795,92097,,0,148081,219034,224920,20795,25,,,3.9,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2638942,2482191,12-Jul-13,PC,3,Ea,207,32987,91344,1,38536,191142,196373,207,57,,,3,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4619815,4528822,2-May-15,PC,1300,Ea,209,107505,,0,169625,257453,263898,209,57,,,1300,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5878428,5814878,24-Feb-16,PC,41,Ea,,120574,,,187146,293326,300022,,,,,41,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3541655,3412443,6-Aug-14,PC,1,Ea,204,95220,,0,152847,226260,232220,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3309981,3182102,30-Apr-14,PC,21,HRS,20795,91682,,0,147498,218309,224151,20795,25,,,21,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3067939,2937811,11-Jan-14,PC,3.9,WK,20795,87298,,,141235,209931,215540,20795,25,,,3.9,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3618175,3487491,10-Sep-14,PC,155,HRS,20795,96524,,0,154917,229637,235627,20795,31,,,155,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3465219,3336326,2-Jul-14,PC,4,WK,20795,94083,,0,151084,223465,229375,20795,31,,,4,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2882206,2731384,18-Oct-13,PC,4.2,WK,20795,84023,,0,135164,202704,208089,20795,31,,,4.2,0,0,
PURCHASE_ORDER_RECEIPT_LINES,6192487,6144221,22-Jun-16,PC,1300,Ea,,100773,,,160591,240018,246235,,,,,1300,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2796315,2636275,31-Aug-13,PC,19.5,WK,20795,82046,,,105180,196839,,,,,,19.5,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4345993,4243640,13-Feb-15,PC,1000,Ea,,103594,,,164483,247237,253776,,,,,1000,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2735126,2574283,10-Aug-13,PC,10,Ea,207,32987,92221,1,38535,192673,197980,207,57,,,10,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2630954,2474192,11-Jul-13,PC,3.9,WK,20795,79665,,0,99873,190536,195780,20795,25,,,3.9,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3280955,3152094,17-Apr-14,PC,4.1,WK,20795,91262,,0,147010,217561,223385,20795,31,,,4.1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4148831,4040633,5-Dec-14,PC,500,Ea,209,102249,,,162616,243911,250151,209,,,,500,0,0,
PURCHASE_ORDER_RECEIPT_LINES,6115882,6062967,1-Jan-16,PC,500,Ea,,100803,,,160677,240104,246321,,,,,500,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3339193,3210154,10-May-14,PC,20,Ea,,92277,,,148366,219383,225263,,,,,20,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5567576,5501956,31-Oct-15,PC,100,Ea,204,117311,,,181700,282341,289010,204,59,,,100,0,0,
