RECORD_TYPE:PAYMENT_TERM_LINES,PAYMENT_TERMS_ID,SEQUENCE_NUM,DUE_PERCENT,DUE_AMOUNT,DUE_DAYS,DUE_DAY_OF_MONTH,DUE_MONTHS_FORWARD,DISCOUNT_PERCENT,DISCOUNT_DAYS,DISCOUNT_DAY_OF_MONTH,DISCOUNT_MONTHS_FORWARD,DISCOUNT_PERCENT_2,DISCOUNT_DAYS_2,DISCOUNT_DAY_OF_MONTH_2,DISCOUNT_MONTHS_FORWARD_2,DISCOUNT_PERCENT_3,DISCOUNT_DAYS_3,DISCOUNT_DAY_OF_MONTH_3,DISCOUNT_MONTHS_FORWARD_3,ATTRIBUTE_CATEGORY,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,FIXED_DATE,CALENDAR,DISCOUNT_AMOUNT,DISCOUNT_CRITERIA,DISCOUNT_AMOUNT_2,DISCOUNT_CRITERIA_2,DISCOUNT_AMOUNT_3,DISCOUNT_CRITERIA_3
PAYMENT_TERM_LINES,10014,1,100,,30,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10021,1,100,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10022,1,100,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10023,1,100,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10041,1,33,,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10041,2,33,,,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10041,3,34,,,31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10042,1,100,,30,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10043,1,100,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10044,1,100,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10045,1,100,,30,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10065,1,90,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10065,2,10,,,31,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10085,1,100,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10086,1,100,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10087,1,100,,14,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10088,1,100,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10089,1,100,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10090,1,100,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10091,1,100,,30,,,,,,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10110,1,100,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10111,1,100,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10112,1,100,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10113,1,100,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10154,1,100,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10114,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRRF,,,,,,
PAYMENT_TERM_LINES,10174,1,100,,,31,1,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10175,1,100,,,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10176,1,100,,,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10134,1,100,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
