"RECEIPT_ID","SUPPLIER_ID","SUPPLIER_ADDRESS_ID","SUPPLIER_SHIPMENT_NUMBER","RECEIPT_REFERENCE","SHIP_TO_GEOGRAPHY_ID","BILL_OF_LADING","WAYBILL","PACK_SLIP_REFERENCE","FREIGHT_CODE","SCHEDULED_RECEIPT_DATE","RECEIVED_BY_PERSON_ID","RECEIPT_DATE","RECEIPT_DATE_1","RECEIPT_NOTES"
2451185,22,2228,"","8044",,"","","","",06/JUL/06,384,06/JUL/06,"06-JUL-2013",""
2451186,21,,"","8045",,"","","","",06/JUL/06,384,06/JUL/06,"06-JUL-2013",""
2451187,2,2233,"","8046",,"","","","",06/JUL/06,384,06/JUL/06,"06-JUL-2013",""
2451188,22,2228,"","8047",,"","","","",06/JUL/06,384,06/JUL/06,"06-JUL-2013",""
2451189,21,,"","8048",,"","","","",06/JUL/06,384,06/JUL/06,"06-JUL-2013",""
2451190,3,2227,"","8049",,"","","","",06/JUL/06,384,06/JUL/06,"06-JUL-2013",""
2451191,21,,"","8050",,"","","","",06/JUL/06,384,06/JUL/06,"06-JUL-2013",""
2451192,22,2228,"","8051",,"","","","",06/JUL/06,384,06/JUL/06,"06-JUL-2013",""
2451193,2,2233,"","8052",,"","","","",06/JUL/06,384,06/JUL/06,"06-JUL-2013",""
2465187,21,1969,"","23274",,"","","","",,57,07/JUL/06,"07-JUL-2013",""
2465192,21,,"","8068",,"","","","",10/JUL/06,384,10/JUL/06,"10-JUL-2013",""
2465193,3,2227,"","8069",,"","","","",12/JUL/06,384,10/JUL/06,"10-JUL-2013",""
2465195,2,2695,"","4182",,"","","","",11/JUL/06,1850,10/JUL/06,"10-JUL-2013",""
2465196,22,2698,"","4183",,"","","","",11/JUL/06,1850,10/JUL/06,"10-JUL-2013",""
2465197,2,2695,"","4184",,"","","","",11/JUL/06,1850,10/JUL/06,"10-JUL-2013",""
2465199,1355,3219,"","30249",839,"","","","",10/JUL/06,10313,10/JUL/06,"10-JUL-2013",""
2465200,1,2326,"","8071",,"","","","",10/JUL/06,384,10/JUL/06,"10-JUL-2013",""
2466188,21,,"","9355",535,"","","","",12/JUL/06,1313,10/JUL/06,"10-JUL-2013",""
2466189,22,415,"","9356",535,"","","","",12/JUL/06,1313,10/JUL/06,"10-JUL-2013",""
2466194,478,1887,"","9357",535,"","","","",10/JUL/06,1603,10/JUL/06,"10-JUL-2013",""
2466195,22,2236,"","7248",,"","","","",10/JUL/06,4758,10/JUL/06,"10-JUL-2013",""
2466196,147,628,"","7249",,"","","","",10/JUL/06,4758,10/JUL/06,"10-JUL-2013",""
2463188,11,,"","5527",,"","","","",07/JUL/06,2985,07/JUL/06,"07-JUL-2013",""
2463189,515,,"","5528",,"","","","",07/JUL/06,2985,07/JUL/06,"07-JUL-2013",""
2463190,517,4993,"","5529",,"","","","",07/JUL/06,2983,07/JUL/06,"07-JUL-2013",""
2467188,478,2343,"","7250",,"","","","",10/JUL/06,4758,10/JUL/06,"10-JUL-2013",""
2467189,1,1007,"","4516",695,"","","","",10/JUL/06,1874,10/JUL/06,"10-JUL-2013",""
2467190,334,2713,"","4517",695,"","","","",10/JUL/06,1874,10/JUL/06,"10-JUL-2013",""
2467191,478,2686,"","4518",695,"","","","",10/JUL/06,1875,10/JUL/06,"10-JUL-2013",""
2470188,622,5129,"","20397",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470189,557,5133,"","20398",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470190,600,5107,"","20399",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470191,6134,5300,"","20400",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470192,7132,5319,"","20401",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470193,7129,5315,"","20402",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470194,6130,5295,"","20403",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470195,6131,5296,"","20404",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470196,7134,5323,"","20405",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470197,6131,5296,"","20406",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470198,6134,5300,"","20407",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470199,6128,5293,"","20408",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470200,7131,5318,"","20409",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470201,7136,5325,"","20410",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2470206,660,5131,"","20415",,"","","","",,7878,10/JUL/06,"10-JUL-2013",""
2472190,3,2227,"","8072",,"","","","",13/JUL/06,384,11/JUL/06,"11-JUL-2013",""
2472191,334,2754,"","4186",,"","","","",11/JUL/06,1850,11/JUL/06,"11-JUL-2013",""
2472192,478,2753,"","4187",,"","","","",11/JUL/06,4821,11/JUL/06,"11-JUL-2013",""
2472193,537,1548,"","4188",,"","","","",11/JUL/06,4611,11/JUL/06,"11-JUL-2013",""
2472194,22,2228,"","8073",,"","","","",13/JUL/06,384,11/JUL/06,"11-JUL-2013",""
2472195,2,2233,"","8074",,"","","","",11/JUL/06,384,11/JUL/06,"11-JUL-2013",""
2472196,3,2227,"","8075",,"","","","",11/JUL/06,384,11/JUL/06,"11-JUL-2013",""
2472197,22,2228,"","8076",,"","","","",11/JUL/06,384,11/JUL/06,"11-JUL-2013",""
2472198,21,2232,"","8077",,"","","","",11/JUL/06,384,11/JUL/06,"11-JUL-2013",""
2473197,21,2675,"","4519",695,"","","","",18/JUL/06,1851,11/JUL/06,"11-JUL-2013",""
2473198,22,2673,"","4520",695,"","","","",13/JUL/06,1851,11/JUL/06,"11-JUL-2013",""
2474191,537,1525,"","527",2100,"","","","",11/JUL/06,4155,11/JUL/06,"11-JUL-2013",""
2474192,557,1233,"","8036",,"","","","",08/JUL/06,25,11/JUL/06,"11-JUL-2013",""
2474193,577,4782,"","5532",,"","","","",09/JUL/06,2983,11/JUL/06,"11-JUL-2013",""
2474194,355,4974,"","5533",,"","","","",11/JUL/06,2985,11/JUL/06,"11-JUL-2013",""
2475192,9,12,"","8037",,"","","","",12/JUL/06,25,12/JUL/06,"12-JUL-2013",""
2481190,21,,"","23276",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481191,21,,"","23277",,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481192,21,,"","11746",209,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481193,21,,"","11747",209,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481194,21,,"","23278",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481195,11,,"","23279",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481196,147,,"","23280",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481197,21,,"","23281",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481198,21,,"","23282",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481199,21,,"","23283",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481200,11,,"","23284",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481201,147,,"","23285",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481202,147,,"","23286",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481203,147,,"","23287",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481204,22,,"","23288",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481205,22,,"","23289",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481206,22,,"","23290",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481207,22,,"","23291",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481208,5,,"","23292",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481209,5,,"","23293",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481210,5,,"","23294",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481211,21,,"","23295",,"","","","",10/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481212,21,,"","23296",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481213,11,,"","23297",,"","","","",10/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481214,147,,"","23298",,"","","","",10/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481215,147,,"","23299",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481216,147,,"","23300",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481217,147,,"","23301",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481218,147,,"","23302",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481219,21,,"","23303",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481220,21,,"","23304",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481221,21,,"","23305",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481222,21,,"","23306",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481223,21,,"","23307",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481224,21,,"","23308",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481225,21,,"","23309",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2455188,22,2236,"","7232",,"","","","",06/JUL/06,4758,06/JUL/06,"06-JUL-2013",""
2455189,5,1597,"","7233",,"","","","",06/JUL/06,4758,06/JUL/06,"06-JUL-2013",""
2455190,22,2236,"","7234",,"","","","",06/JUL/06,4758,06/JUL/06,"06-JUL-2013",""
2455191,21,627,"","7235",,"","","","",10/JUL/06,4758,06/JUL/06,"06-JUL-2013",""
2455192,2,1866,"","7236",,"","","","",10/JUL/06,4758,06/JUL/06,"06-JUL-2013",""
2455193,22,2236,"","7237",,"","","","",10/JUL/06,4758,06/JUL/06,"06-JUL-2013",""
2455194,2,1866,"","7238",,"","","","",10/JUL/06,4758,06/JUL/06,"06-JUL-2013",""
2455195,21,,"","8195",,"","","","",06/JUL/06,1783,06/JUL/06,"06-JUL-2013",""
2455196,22,2199,"","8196",,"","","","",06/JUL/06,1783,06/JUL/06,"06-JUL-2013",""
2455197,2,,"","8197",,"","","","",06/JUL/06,1783,06/JUL/06,"06-JUL-2013",""
2455198,22,2199,"","8198",,"","","","",06/JUL/06,1783,06/JUL/06,"06-JUL-2013",""
2456185,334,942,"","8199",,"","","","",06/JUL/06,1314,06/JUL/06,"06-JUL-2013",""
2457188,557,1233,"","8031",,"","","","",06/JUL/06,25,06/JUL/06,"06-JUL-2013",""
2478190,1355,3219,"","30251",839,"","","","",12/JUL/06,10313,12/JUL/06,"12-JUL-2013",""
2478193,41,,"","8218",,"","","","",19/JUL/06,1783,12/JUL/06,"12-JUL-2013",""
2478194,22,2199,"","8219",,"","","","",12/JUL/06,1783,12/JUL/06,"12-JUL-2013",""
2478195,41,2200,"","8220",,"","","","",12/JUL/06,1783,12/JUL/06,"12-JUL-2013",""
2478196,334,942,"","8221",,"","","","",12/JUL/06,1314,12/JUL/06,"12-JUL-2013",""
2481226,21,,"","23310",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481227,21,,"","23311",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481228,21,,"","23312",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481229,21,,"","23313",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481230,21,,"","23314",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481231,11,,"","23315",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481232,11,,"","23316",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481233,11,,"","23317",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481234,11,,"","23318",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481235,11,,"","23319",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481236,11,,"","23320",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481237,11,,"","23321",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481238,11,,"","23322",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481239,11,,"","23323",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481240,11,,"","23324",,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481241,11,,"","23325",,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481242,11,,"","23326",,"","","","",05/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481243,21,,"","23327",,"","","","",10/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481244,21,,"","11748",209,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481245,21,,"","11749",209,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481246,21,,"","11750",209,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2444189,1353,3216,"","30245",839,"","","","",04/JUL/06,10417,04/JUL/06,"04-JUL-2013",""
2444190,1355,3219,"","30246",839,"","","","",04/JUL/06,10313,04/JUL/06,"04-JUL-2013",""
2444191,1,1008,"","4172",,"","","","",04/JUL/06,4611,04/JUL/06,"04-JUL-2013",""
2444192,41,,"","4173",,"","","","",04/JUL/06,2790,04/JUL/06,"04-JUL-2013",""
2444193,334,2754,"","4174",,"","","","",04/JUL/06,4821,04/JUL/06,"04-JUL-2013",""
2444194,478,2753,"","4175",,"","","","",04/JUL/06,2790,04/JUL/06,"04-JUL-2013",""
2444195,12,,"","10262",532,"","","","",04/JUL/06,7665,04/JUL/06,"04-JUL-2013",""
2444196,41,,"","10263",532,"","","","",04/JUL/06,1715,04/JUL/06,"04-JUL-2013",""
2444197,145,,"","10264",532,"","","","",04/JUL/06,7655,04/JUL/06,"04-JUL-2013",""
2444198,147,,"","10265",532,"","","","",04/JUL/06,1715,04/JUL/06,"04-JUL-2013",""
2444199,209,2442,"","10266",532,"","","","",04/JUL/06,7657,04/JUL/06,"04-JUL-2013",""
2445189,1,,"","8191",,"","","","",04/JUL/06,1314,04/JUL/06,"04-JUL-2013",""
2445190,478,2462,"","8192",,"","","","",04/JUL/06,1314,04/JUL/06,"04-JUL-2013",""
2445191,537,1521,"","8193",,"","","","",04/JUL/06,1314,04/JUL/06,"04-JUL-2013",""
2462187,21,1497,"","520",2100,"","","","",07/JUL/06,4153,07/JUL/06,"07-JUL-2013",""
2464187,2,1866,"","7240",,"","","","",,4758,07/JUL/06,"07-JUL-2013",""
2464188,2,1866,"","7241",,"","","","",,4758,07/JUL/06,"07-JUL-2013",""
2464189,2,1866,"","7242",,"","","","",,4758,07/JUL/06,"07-JUL-2013",""
2464190,2,1866,"","7243",,"","","","",,4758,07/JUL/06,"07-JUL-2013",""
2465198,22,2228,"","8070",,"","","","",10/JUL/06,384,10/JUL/06,"10-JUL-2013",""
2466197,21,2675,"","4512",695,"","","","",14/JUL/06,1851,10/JUL/06,"10-JUL-2013",""
2466198,22,2673,"","4513",695,"","","","",11/JUL/06,1851,10/JUL/06,"10-JUL-2013",""
2466199,2,2677,"","4514",695,"","","","",11/JUL/06,1851,10/JUL/06,"10-JUL-2013",""
2466200,22,2673,"","4515",695,"","","","",10/JUL/06,1851,10/JUL/06,"10-JUL-2013",""
2481247,21,,"","11751",209,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481248,21,,"","11752",209,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481249,21,,"","11753",209,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481250,11,,"","11754",209,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481251,147,,"","11755",209,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481252,147,,"","11756",209,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481253,147,,"","11757",209,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481254,22,,"","11758",209,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481255,22,,"","11759",209,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481256,22,,"","11760",209,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2446185,5,2545,"","10555",211,"","","","",04/JUL/06,31,04/JUL/06,"04-JUL-2013",""
2446189,578,1275,"","8028",,"","","","",02/JUL/06,31,04/JUL/06,"04-JUL-2013",""
2448186,1226,3819,"","518",2100,"","","","",05/JUL/06,4152,05/JUL/06,"05-JUL-2013",""
2449185,557,1337,"","10556",211,"","","","",05/JUL/06,31,05/JUL/06,"05-JUL-2013",""
2450185,147,2694,"","4176",,"","","","",06/JUL/06,1850,06/JUL/06,"06-JUL-2013",""
2451194,1355,3219,"","30247",839,"","","","",06/JUL/06,10339,06/JUL/06,"06-JUL-2013",""
2457187,578,1340,"","10558",211,"","","","",06/JUL/06,53,06/JUL/06,"06-JUL-2013",""
2480190,9,1392,"","17604",754,"","","","",12/JUL/06,2159,12/JUL/06,"12-JUL-2013",""
2481257,22,,"","11761",209,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481258,5,,"","11762",209,"","","","",30/JUN/06,57,12/JUL/06,"12-JUL-2013",""
2481259,5,,"","11763",209,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481260,5,,"","11764",209,"","","","",06/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481261,21,,"","11765",209,"","","","",10/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481262,21,,"","11766",209,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481263,11,,"","11767",209,"","","","",10/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481264,11,,"","11768",209,"","","","",03/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481265,11,,"","11769",209,"","","","",10/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481266,147,,"","11770",209,"","","","",10/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481267,147,,"","11771",209,"","","","",12/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481268,147,,"","11772",209,"","","","",12/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481269,147,,"","11773",209,"","","","",13/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481270,147,,"","11774",209,"","","","",13/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481271,147,,"","11775",209,"","","","",12/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481272,147,,"","11776",209,"","","","",12/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481273,22,,"","11777",209,"","","","",12/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481274,22,,"","11778",209,"","","","",12/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481275,22,,"","11779",209,"","","","",12/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481276,22,,"","11780",209,"","","","",12/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481277,22,,"","11781",209,"","","","",12/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481278,22,,"","11782",209,"","","","",13/JUL/06,57,12/JUL/06,"12-JUL-2013",""
2481279,22,,"","11783",209,"","","","",13/JUL/06,57,12/JUL/06,"12-JUL-2013",""
