RECORD_TYPE:INVOICE_PAYMENTS,PAYMENT_ID,INVOICE_ID,PAY_METHOD,PAYMENT_TYPE,PAYMENT_DATE,DISCOUNT_LOST,DISCOUNT_TAKEN,BASE_AMOUNT,CURRENCY_CODE,CURRENCY_AMOUNT,EXCHANGE_RATE,CURRENCY_RATE_TYPE,EXCHANGE_RATE_DATE,PAYMENT_REF,PAYMENT_BATCH_REF,BANK_ACCOUNT_ID,BANK_ACCOUNT_NAME,PAYMENT_STATUS,CLEARING_DATE,DOCUMENT_TYPE,REMIT_TO_SUPPLIER_ID
INVOICE_PAYMENTS,126177,153942,AUTO,CHECK,14-Jul-13,0,0,18717.93,USD,1768601.77,,,14-Jul-06,5202,060714chk,10001,BofA,RECONCILED,14-Jul-13,,21
INVOICE_PAYMENTS,126579,153960,AUTO,CHECK,21-Jul-13,0,893.27,21438.38,USD,151206.57,,,21-Jul-06,5243,060721chk,10001,BofA,RECONCILED,21-Jul-13,,22
INVOICE_PAYMENTS,126133,153862,AUTO,CHECK,14-Jul-13,0,0,42.3,USD,1768601.77,,,14-Jul-06,5202,060714chk,10001,BofA,RECONCILED,14-Jul-13,,21
INVOICE_PAYMENTS,127925,154255,AUTO,EFT,1-Sep-13,0,0,507000,USD,507000,,Corporate,1-Sep-06,130,060901eft-204,10010,BofA-204,RECONCILED,1-Sep-13,EFT PAY,578
INVOICE_PAYMENTS,127719,154414,AUTO,CHECK,18-Aug-13,0,1.52,74.38,USD,80386.43,,Corporate,18-Aug-06,5285,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,5
INVOICE_PAYMENTS,128009,154418,AUTO,EFT,8-Sep-13,0,881.07,43172.53,USD,224493.74,,Corporate,8-Sep-06,143,060908eft-204,10010,BofA-204,RECONCILED,8-Sep-13,EFT PAY,11
INVOICE_PAYMENTS,127717,154412,AUTO,CHECK,18-Aug-13,0,108.2,2596.82,USD,170836.92,,Corporate,18-Aug-06,5270,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,22
INVOICE_PAYMENTS,126605,154420,AUTO,CHECK,21-Jul-13,0,0,2351.25,USD,788577.86,,,21-Jul-06,5235,060721chk,10001,BofA,RECONCILED,21-Jul-13,,21
INVOICE_PAYMENTS,127998,154326,AUTO,EFT,8-Sep-13,0,2.94,144.06,USD,224493.74,,Corporate,8-Sep-06,143,060908eft-204,10010,BofA-204,RECONCILED,8-Sep-13,EFT PAY,11
INVOICE_PAYMENTS,128027,154373,AUTO,CHECK,8-Sep-13,0,0,4033.24,USD,108164.22,,Corporate,8-Sep-06,5332,060908chk-204,10010,BofA-204,RECONCILED,8-Sep-13,CHECK PAY,147
INVOICE_PAYMENTS,127699,154376,AUTO,CHECK,18-Aug-13,0,80.54,1932.86,USD,170836.92,,Corporate,18-Aug-06,5270,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,22
INVOICE_PAYMENTS,127703,154380,AUTO,CHECK,18-Aug-13,0,11.96,287.14,USD,170836.92,,Corporate,18-Aug-06,5270,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,22
INVOICE_PAYMENTS,127704,154381,AUTO,CHECK,18-Aug-13,0,245.26,5886.29,USD,170836.92,,Corporate,18-Aug-06,5270,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,22
INVOICE_PAYMENTS,126592,154395,AUTO,CHECK,21-Jul-13,0,0,31.5,USD,788577.86,,,21-Jul-06,5235,060721chk,10001,BofA,RECONCILED,21-Jul-13,,21
INVOICE_PAYMENTS,126593,154399,AUTO,CHECK,21-Jul-13,0,0,50160,USD,788577.86,,,21-Jul-06,5235,060721chk,10001,BofA,RECONCILED,21-Jul-13,,21
INVOICE_PAYMENTS,127981,155134,AUTO,CHECK,1-Sep-13,0,12.76,625.07,USD,433903.86,,Corporate,1-Sep-06,5323,060901chk-204,10010,BofA-204,RECONCILED,1-Sep-13,CHECK PAY,5
INVOICE_PAYMENTS,127745,154990,AUTO,CHECK,18-Aug-13,0,0,382.2,USD,2269662.16,,Corporate,18-Aug-06,5273,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,21
INVOICE_PAYMENTS,127773,155081,AUTO,CHECK,18-Aug-13,0,0,2915.55,USD,2269662.16,,Corporate,18-Aug-06,5273,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,21
INVOICE_PAYMENTS,127972,155125,AUTO,CHECK,1-Sep-13,0,2086.87,102256.65,USD,433903.86,,Corporate,1-Sep-06,5323,060901chk-204,10010,BofA-204,RECONCILED,1-Sep-13,CHECK PAY,5
INVOICE_PAYMENTS,128060,154995,AUTO,EFT,15-Sep-13,0,1350,66150,USD,684902.18,,Corporate,15-Sep-06,153,060915eft-204,10010,BofA-204,RECONCILED,15-Sep-13,EFT PAY,11
INVOICE_PAYMENTS,127218,155002,AUTO,CHECK,4-Aug-13,0,470.14,11283.36,USD,456163.27,,,4-Aug-06,5253,060804chk,10001,BofA,RECONCILED,4-Aug-13,,22
INVOICE_PAYMENTS,127750,155006,AUTO,CHECK,18-Aug-13,0,0,1674.82,USD,2269662.16,,Corporate,18-Aug-06,5273,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,21
INVOICE_PAYMENTS,128062,155017,AUTO,EFT,15-Sep-13,0,1046.99,51302.51,USD,684902.18,,Corporate,15-Sep-06,153,060915eft-204,10010,BofA-204,RECONCILED,15-Sep-13,EFT PAY,11
INVOICE_PAYMENTS,128084,155020,AUTO,CHECK,15-Sep-13,0,0,14902.48,USD,527799.98,,Corporate,15-Sep-06,5354,060915chk-204,10010,BofA-204,RECONCILED,15-Sep-13,CHECK PAY,147
INVOICE_PAYMENTS,127961,155039,AUTO,CHECK,1-Sep-13,0,29.82,1461.3,USD,433903.86,,Corporate,1-Sep-06,5323,060901chk-204,10010,BofA-204,RECONCILED,1-Sep-13,CHECK PAY,5
INVOICE_PAYMENTS,127963,155041,AUTO,CHECK,1-Sep-13,0,778.95,38168.7,USD,433903.86,,Corporate,1-Sep-06,5323,060901chk-204,10010,BofA-204,RECONCILED,1-Sep-13,CHECK PAY,5
INVOICE_PAYMENTS,127966,155044,AUTO,CHECK,1-Sep-13,0,179.48,8794.52,USD,433903.86,,Corporate,1-Sep-06,5323,060901chk-204,10010,BofA-204,RECONCILED,1-Sep-13,CHECK PAY,5
INVOICE_PAYMENTS,128068,155053,AUTO,EFT,15-Sep-13,0,1270.5,62254.5,USD,684902.18,,Corporate,15-Sep-06,153,060915eft-204,10010,BofA-204,RECONCILED,15-Sep-13,EFT PAY,11
INVOICE_PAYMENTS,127779,155087,AUTO,CHECK,18-Aug-13,0,0,12115.53,USD,2269662.16,,Corporate,18-Aug-06,5273,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,21
INVOICE_PAYMENTS,127208,155120,AUTO,CHECK,4-Aug-13,0,129.21,3101.07,USD,456163.27,,,4-Aug-06,5253,060804chk,10001,BofA,RECONCILED,4-Aug-13,,22
INVOICE_PAYMENTS,127975,155128,AUTO,CHECK,1-Sep-13,0,200.3,9814.81,USD,433903.86,,Corporate,1-Sep-06,5323,060901chk-204,10010,BofA-204,RECONCILED,1-Sep-13,CHECK PAY,5
INVOICE_PAYMENTS,127976,155129,AUTO,CHECK,1-Sep-13,0,343.38,16825.38,USD,433903.86,,Corporate,1-Sep-06,5323,060901chk-204,10010,BofA-204,RECONCILED,1-Sep-13,CHECK PAY,5
INVOICE_PAYMENTS,127175,155035,AUTO,CHECK,4-Aug-13,0,299.18,7180.32,USD,456163.27,,,4-Aug-06,5253,060804chk,10001,BofA,RECONCILED,4-Aug-13,,22
INVOICE_PAYMENTS,127762,155049,AUTO,CHECK,18-Aug-13,0,0,336,USD,2269662.16,,Corporate,18-Aug-06,5273,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,21
INVOICE_PAYMENTS,127764,155055,AUTO,CHECK,18-Aug-13,0,0,101.5,USD,2269662.16,,Corporate,18-Aug-06,5273,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,21
INVOICE_PAYMENTS,128138,154855,AUTO,CHECK,22-Sep-13,0,0,-5191,USD,101269,,Corporate,22-Sep-06,5365,060922chk-204,10010,BofA-204,RECONCILED,22-Sep-13,CHECK PAY,6
INVOICE_PAYMENTS,127785,155093,AUTO,CHECK,18-Aug-13,0,0,518.8,USD,2269662.16,,Corporate,18-Aug-06,5273,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,21
INVOICE_PAYMENTS,127791,155770,AUTO,CHECK,18-Aug-13,0,0,-1149,USD,353321,,Corporate,18-Aug-06,5292,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,209
INVOICE_PAYMENTS,127794,156079,AUTO,CHECK,18-Aug-13,0,0,5706.8,USD,2269662.16,,Corporate,18-Aug-06,5273,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,21
INVOICE_PAYMENTS,127877,156124,AUTO,CHECK,25-Aug-13,0,177.18,4252.3,USD,74929.9,,Corporate,25-Aug-06,5304,060825chk-204,10010,BofA-204,RECONCILED,25-Aug-13,CHECK PAY,22
INVOICE_PAYMENTS,127814,156145,AUTO,CHECK,18-Aug-13,0,0,4033.24,USD,2269662.16,,Corporate,18-Aug-06,5273,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,21
INVOICE_PAYMENTS,128115,156112,AUTO,CHECK,15-Sep-13,0,187,9163,USD,25081.8,,Corporate,15-Sep-06,5349,060915chk-204,10010,BofA-204,RECONCILED,15-Sep-13,CHECK PAY,5
INVOICE_PAYMENTS,127807,156116,AUTO,CHECK,18-Aug-13,0,0,570.68,USD,2269662.16,,Corporate,18-Aug-06,5273,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,21
INVOICE_PAYMENTS,128116,156127,AUTO,CHECK,15-Sep-13,0,1.35,66.16,USD,25081.8,,Corporate,15-Sep-06,5349,060915chk-204,10010,BofA-204,RECONCILED,15-Sep-13,CHECK PAY,5
INVOICE_PAYMENTS,127881,156154,AUTO,CHECK,25-Aug-13,0,20.2,484.84,USD,74929.9,,Corporate,25-Aug-06,5304,060825chk-204,10010,BofA-204,RECONCILED,25-Aug-13,CHECK PAY,22
INVOICE_PAYMENTS,127885,156168,AUTO,CHECK,25-Aug-13,0,26.67,639.97,USD,74929.9,,Corporate,25-Aug-06,5304,060825chk-204,10010,BofA-204,RECONCILED,25-Aug-13,CHECK PAY,22
INVOICE_PAYMENTS,128007,154366,AUTO,EFT,8-Sep-13,0,403.42,19767.5,USD,224493.74,,Corporate,8-Sep-06,143,060908eft-204,10010,BofA-204,RECONCILED,8-Sep-13,EFT PAY,11
INVOICE_PAYMENTS,127805,156114,AUTO,CHECK,18-Aug-13,0,0,2683.13,USD,2269662.16,,Corporate,18-Aug-06,5273,060818chk-204,10010,BofA-204,RECONCILED,18-Aug-13,CHECK PAY,21
INVOICE_PAYMENTS,127621,156213,AUTO,EFT,18-Aug-13,0,0,22330,USD,22330,,Corporate,18-Aug-06,78,060818eft-204,10010,BofA-204,RECONCILED,18-Aug-13,EFT PAY,9
INVOICE_PAYMENTS,128048,156496,AUTO,CHECK,8-Sep-13,0,71.79,1723.01,USD,7900.11,,Corporate,8-Sep-06,5337,060908chk-204,10010,BofA-204,RECONCILED,8-Sep-13,CHECK PAY,22
INVOICE_PAYMENTS,128051,156564,AUTO,CHECK,8-Sep-13,0,13.1,314.32,USD,7900.11,,Corporate,8-Sep-06,5337,060908chk-204,10010,BofA-204,RECONCILED,8-Sep-13,CHECK PAY,22
INVOICE_PAYMENTS,127861,156287,AUTO,EFT,25-Aug-13,0,0,22330,USD,20153,,Corporate,25-Aug-06,112,060825eft-204,10010,BofA-204,RECONCILED,25-Aug-13,EFT PAY,9
INVOICE_PAYMENTS,128144,156289,AUTO,CHECK,22-Sep-13,0,0,53230,USD,101269,,Corporate,22-Sep-06,5365,060922chk-204,10010,BofA-204,RECONCILED,22-Sep-13,CHECK PAY,6
INVOICE_PAYMENTS,128205,157862,AUTO,CHECK,29-Sep-13,0,544,13056,USD,13056,,Corporate,29-Sep-06,5368,060929chk-204,10010,BofA-204,RECONCILED,29-Sep-13,CHECK PAY,22
INVOICE_PAYMENTS,128125,157880,AUTO,CHECK,15-Sep-13,0,0,23030,USD,46060,,Corporate,15-Sep-06,5348,060915chk-204,10010,BofA-204,RECONCILED,15-Sep-13,CHECK PAY,5
INVOICE_PAYMENTS,128234,157746,AUTO,CHECK,20-Oct-13,0,0,655200,USD,655200,,Corporate,20-Oct-06,5402,061020chk-204,10010,BofA-204,RECONCILED,20-Oct-13,CHECK PAY,415
INVOICE_PAYMENTS,128266,158386,AUTO,EFT,10-Nov-13,0,0,358800,USD,358800,,Corporate,10-Nov-06,237,061110eft-204,10010,BofA-204,RECONCILED,10-Nov-13,EFT PAY,578
INVOICE_PAYMENTS,128211,158387,AUTO,CHECK,6-Oct-13,0,28.2,1381.8,USD,2881.2,,Corporate,6-Oct-06,5378,061006chk-204,10010,BofA-204,RECONCILED,6-Oct-13,CHECK PAY,21
INVOICE_PAYMENTS,128259,161585,AUTO,CHECK,3-Nov-13,0,592,14208,USD,14208,,Corporate,3-Nov-06,5406,061103chk-204,10010,BofA-204,RECONCILED,3-Nov-13,CHECK PAY,22
INVOICE_PAYMENTS,133722,163154,AUTO,CHECK,17-Jan-14,0,0,500,USD,3184.5,,Corporate,17-Jan-07,5683,070117chk-204,10010,BofA-204,NEGOTIABLE,,,1717
INVOICE_PAYMENTS,134136,162871,AUTO,EFT,26-Jan-14,0,0,2461,USD,811793,,Corporate,26-Jan-07,2413,070126eft-204,10010,BofA-204,RECONCILED,26-Jan-14,,557
INVOICE_PAYMENTS,127188,153927,AUTO,CHECK,4-Aug-13,0,4.96,242.99,USD,108057.11,,,4-Aug-06,5258,060804chk,10001,BofA,RECONCILED,4-Aug-13,,5
INVOICE_PAYMENTS,128172,156086,AUTO,CHECK,29-Sep-13,0,0,5640.8,USD,133647.42,,Corporate,29-Sep-06,5373,060929chk-204,10010,BofA-204,RECONCILED,29-Sep-13,CHECK PAY,147
INVOICE_PAYMENTS,134139,163703,AUTO,EFT,26-Jan-14,0,0,472,USD,811793,,Corporate,26-Jan-07,2413,070126eft-204,10010,BofA-204,RECONCILED,26-Jan-14,,557
INVOICE_PAYMENTS,131544,163704,AUTO,CHECK,24-Nov-13,0,20.75,1016.75,USD,2033.5,,Corporate,24-Nov-06,5598,061124chk-204,10010,BofA-204,RECONCILED,24-Nov-13,CHECK PAY,21
INVOICE_PAYMENTS,132940,167240,AUTO,CHECK,15-Dec-13,0,0,117000,USD,1772944,,Corporate,15-Dec-06,5643,061215chk-204,10010,BofA-204,RECONCILED,15-Dec-13,,209
INVOICE_PAYMENTS,132949,167181,AUTO,CHECK,15-Dec-13,0,0,54690,USD,657290,,Corporate,15-Dec-06,5647,061215chk-204,10010,BofA-204,RECONCILED,15-Dec-13,,4
INVOICE_PAYMENTS,132950,167185,AUTO,CHECK,15-Dec-13,0,0,54690,USD,657290,,Corporate,15-Dec-06,5647,061215chk-204,10010,BofA-204,RECONCILED,15-Dec-13,,4
INVOICE_PAYMENTS,132966,167201,AUTO,CHECK,15-Dec-13,0,0,57540,USD,573918,,Corporate,15-Dec-06,5648,061215chk-204,10010,BofA-204,RECONCILED,15-Dec-13,,6
INVOICE_PAYMENTS,132936,167210,AUTO,CHECK,15-Dec-13,0,0,127370,USD,1772944,,Corporate,15-Dec-06,5643,061215chk-204,10010,BofA-204,RECONCILED,15-Dec-13,,209
INVOICE_PAYMENTS,132967,167161,AUTO,CHECK,15-Dec-13,0,0,62110,USD,573918,,Corporate,15-Dec-06,5648,061215chk-204,10010,BofA-204,RECONCILED,15-Dec-13,,6
INVOICE_PAYMENTS,132930,167186,AUTO,CHECK,15-Dec-13,0,0,137500,USD,1772944,,Corporate,15-Dec-06,5643,061215chk-204,10010,BofA-204,RECONCILED,15-Dec-13,,209
INVOICE_PAYMENTS,132933,167199,AUTO,CHECK,15-Dec-13,0,0,127370,USD,1772944,,Corporate,15-Dec-06,5643,061215chk-204,10010,BofA-204,RECONCILED,15-Dec-13,,209
INVOICE_PAYMENTS,135600,168277,AUTO,EFT,23-Feb-14,0,0,19,USD,19,,Corporate,23-Feb-07,2735,070223eft-204,10010,BofA-204,RECONCILED,23-Feb-14,,557
INVOICE_PAYMENTS,135603,168307,AUTO,EFT,23-Feb-14,0,0,-428,USD,471.99,,Corporate,23-Feb-07,2737,070223eft-204,10010,BofA-204,RECONCILED,23-Feb-14,,537
INVOICE_PAYMENTS,136021,168547,AUTO,CHECK,21-Mar-14,0,0,1121600,USD,2517850,,Corporate,21-Mar-07,5778,070321chk-204,10010,BofA-204,RECONCILED,21-Mar-14,,415
INVOICE_PAYMENTS,133758,168562,AUTO,CHECK,17-Jan-14,0,0,56480,USD,222290,,Corporate,17-Jan-07,5693,070117chk-204,10010,BofA-204,NEGOTIABLE,,,6
INVOICE_PAYMENTS,133748,168568,AUTO,CHECK,17-Jan-14,0,0,-4571,USD,224686,,Corporate,17-Jan-07,5690,070117chk-204,10010,BofA-204,NEGOTIABLE,,,4
INVOICE_PAYMENTS,134147,168558,AUTO,EFT,26-Jan-14,0,0,23690,USD,89415,,Corporate,26-Jan-07,2414,070126eft-204,10010,BofA-204,RECONCILED,26-Jan-14,,9
INVOICE_PAYMENTS,134148,168559,AUTO,EFT,26-Jan-14,0,0,23690,USD,89415,,Corporate,26-Jan-07,2414,070126eft-204,10010,BofA-204,RECONCILED,26-Jan-14,,9
INVOICE_PAYMENTS,133727,168575,AUTO,CHECK,17-Jan-14,0,0,-362,USD,14596,,Corporate,17-Jan-07,5684,070117chk-204,10010,BofA-204,NEGOTIABLE,,,22
INVOICE_PAYMENTS,134388,168577,AUTO,CHECK,31-Jan-14,0,0,-8908,USD,117104,,Corporate,31-Jan-07,5721,070131chk-204,10010,BofA-204,NEGOTIABLE,,,21
INVOICE_PAYMENTS,135605,168591,AUTO,EFT,23-Feb-14,0,0,500,USD,471.99,,Corporate,23-Feb-07,2737,070223eft-204,10010,BofA-204,RECONCILED,23-Feb-14,,537
INVOICE_PAYMENTS,135301,171142,AUTO,EFT,16-Feb-14,0,0,22340,USD,88440,,Corporate,16-Feb-07,2660,070216eft-204,10010,BofA-204,RECONCILED,16-Feb-14,,9
INVOICE_PAYMENTS,135989,171159,AUTO,CHECK,21-Mar-14,0,0,89520,USD,506820,,Corporate,21-Mar-07,5767,070321chk-204,10010,BofA-204,RECONCILED,21-Mar-14,,21
INVOICE_PAYMENTS,135662,171751,AUTO,EFT,2-Mar-14,0,0,300000,USD,783504,,Corporate,2-Mar-07,2798,070302eft-204,10010,BofA-204,RECONCILED,2-Mar-14,,557
INVOICE_PAYMENTS,136005,171706,AUTO,CHECK,21-Mar-14,0,0,115480,USD,428950,,Corporate,21-Mar-07,5773,070321chk-204,10010,BofA-204,RECONCILED,21-Mar-14,,209
INVOICE_PAYMENTS,135663,171707,AUTO,EFT,2-Mar-14,0,0,21880,USD,21880,,Corporate,2-Mar-07,2799,070302eft-204,10010,BofA-204,RECONCILED,2-Mar-14,,9
INVOICE_PAYMENTS,135986,172487,AUTO,CHECK,21-Mar-14,0,0,17500,USD,506820,,Corporate,21-Mar-07,5767,070321chk-204,10010,BofA-204,RECONCILED,21-Mar-14,,21
INVOICE_PAYMENTS,136827,172650,AUTO,CHECK,18-Apr-14,0,0,47200,USD,47200,,Corporate,18-Apr-07,5811,070418chk-204,10010,BofA-204,RECONCILED,18-Apr-14,,6
INVOICE_PAYMENTS,136980,172432,AUTO,EFT,20-Apr-14,0,0,182000,USD,182000,,Corporate,20-Apr-07,3210,070420eft-204,10010,BofA-204,RECONCILED,20-Apr-14,,578
INVOICE_PAYMENTS,136465,172613,AUTO,CHECK,4-Apr-14,0,0,47200,USD,47200,,Corporate,4-Apr-07,5795,070404chk-204,10010,BofA-204,RECONCILED,4-Apr-14,,6
INVOICE_PAYMENTS,136458,173537,AUTO,CHECK,4-Apr-14,0,0,3950,USD,3950,,Corporate,4-Apr-07,5789,070404chk-204,10010,BofA-204,RECONCILED,4-Apr-14,,22
INVOICE_PAYMENTS,137117,173182,AUTO,CHECK,2-May-14,0,0,47200,USD,47200,,Corporate,2-May-07,5825,070502chk-204,10010,BofA-204,RECONCILED,2-May-14,,6
INVOICE_PAYMENTS,137107,173183,AUTO,CHECK,2-May-14,0,0,81000,USD,138000,,Corporate,2-May-07,5819,070502chk-204,10010,BofA-204,RECONCILED,2-May-14,,21
INVOICE_PAYMENTS,136825,174342,AUTO,CHECK,18-Apr-14,0,0,49780,USD,99560,,Corporate,18-Apr-07,5809,070418chk-204,10010,BofA-204,RECONCILED,18-Apr-14,,4
INVOICE_PAYMENTS,136821,174053,AUTO,CHECK,18-Apr-14,0,0,125150,USD,250300,,Corporate,18-Apr-07,5807,070418chk-204,10010,BofA-204,RECONCILED,18-Apr-14,,209
INVOICE_PAYMENTS,137111,174193,AUTO,CHECK,2-May-14,0,0,49000,USD,49000,,Corporate,2-May-07,5820,070502chk-204,10010,BofA-204,RECONCILED,2-May-14,,5
INVOICE_PAYMENTS,141446,175169,AUTO,CHECK,9-May-14,0,0,19000,USD,116020,,Corporate,9-May-07,5976,070509chk-204,10010,BofA-204,NEGOTIABLE,,,21
INVOICE_PAYMENTS,137693,175794,AUTO,CHECK,23-May-14,0,0,16500,USD,113520,,Corporate,23-May-07,5849,070523chk-204,10010,BofA-204,RECONCILED,23-May-14,,21
INVOICE_PAYMENTS,137545,175455,AUTO,CHECK,16-May-14,0,0,3690,USD,3690,,Corporate,16-May-07,5841,070516chk-204,10010,BofA-204,RECONCILED,16-May-14,,22
INVOICE_PAYMENTS,139086,176164,AUTO,CHECK,11-Jul-14,0,0,94500,USD,94500,,Corporate,11-Jul-07,5914,070711chk-204,10010,BofA-204,RECONCILED,11-Jul-14,,415
INVOICE_PAYMENTS,139084,176079,AUTO,CHECK,11-Jul-14,0,0,102492,USD,102492,,Corporate,11-Jul-07,5912,070711chk-204,10010,BofA-204,RECONCILED,11-Jul-14,,3
INVOICE_PAYMENTS,138156,176482,AUTO,CHECK,6-Jun-14,0,0,17500,USD,128140,,Corporate,6-Jun-07,5866,070606chk-204,10010,BofA-204,RECONCILED,6-Jun-14,,21
INVOICE_PAYMENTS,138376,176882,AUTO,CHECK,13-Jun-14,0,0,3430,USD,3430,,Corporate,13-Jun-07,5873,070613chk-204,10010,BofA-204,RECONCILED,13-Jun-14,,22
INVOICE_PAYMENTS,148097,177202,AUTO,CHECK,7-Aug-14,0,0,56418.74,USD,56418.74,,Corporate,7-Aug-07,6149,070807chk-204,14006,Operating Account,RECONCILED,7-Aug-14,,16148
INVOICE_PAYMENTS,138967,178190,AUTO,CHECK,4-Jul-14,0,0,48430,USD,48430,,Corporate,4-Jul-07,5908,070704chk-204,10010,BofA-204,RECONCILED,4-Jul-14,,4
INVOICE_PAYMENTS,140299,179245,AUTO,CHECK,8-Aug-14,0,0,48430,USD,145290,,Corporate,8-Aug-07,5956,070808chk-204,10010,BofA-204,RECONCILED,8-Aug-14,,4
INVOICE_PAYMENTS,143439,179247,AUTO,EFT,21-Sep-14,0,0,23070,USD,382856,,Corporate,21-Sep-07,4822,070921eft-204,10010,BofA-204,RECONCILED,21-Sep-14,,9
INVOICE_PAYMENTS,148055,179283,AUTO,CHECK,3-Oct-13,0,0,620000,USD,620000,,Corporate,3-Oct-06,6135,061003chk-204,14006,Operating Account,RECONCILED,3-Oct-13,,16148
INVOICE_PAYMENTS,148132,179326,AUTO,CHECK,9-Oct-14,0,0,98550,USD,660350,,Corporate,9-Oct-07,6159,071009chk-204,14006,Operating Account,RECONCILED,9-Oct-14,,415
INVOICE_PAYMENTS,148093,179183,AUTO,CHECK,7-Aug-14,0,0,18500,USD,238900,,Corporate,7-Aug-07,6146,070807chk-204,14006,Operating Account,RECONCILED,7-Aug-14,,21
INVOICE_PAYMENTS,140850,179071,AUTO,CHECK,22-Aug-14,0,0,94390,USD,94390,,Corporate,22-Aug-07,5962,070822chk-204,10010,BofA-204,RECONCILED,22-Aug-14,,21
