RECORD_TYPE:PURCHASE_ORDER_LINES,PO_ID,LINE_ID,LINE_TYPE,ITEM_ID,CATEGORY_ID,LINE_DESCRIPTION,CANCEL_FLAG,UOM,AMOUNT,QTY,CONTRACT_ID,CONTRACT_LINE_ID,CONTRACT_PRICE_BREAK,SUPPLIER_ITEM_NUMBER
PURCHASE_ORDER_LINES,81627,104641,Goods,,1,Dell Desktop,N,Each,3125,1,,,,
PURCHASE_ORDER_LINES,81842,104964,Goods,628,1,Envoy Deluxe Laptop,N,Each,17870.85,25,,,,
PURCHASE_ORDER_LINES,82293,105519,Goods,,37,"Little Giant Carpet Cleaner Pump, 1/11 horsepower, 9000 RPM, 115 volts, 60 Hertz",N,EA,26685,300,81315,103828,,2P018
PURCHASE_ORDER_LINES,81839,104962,Goods,,36,"Stop-Step 4-Step Ladder with Right Handrail, 27 inch Top Step, 23-3/4 inch x 33-1/2 inch x 40-3/4 inch",N,EA,1286,2,81314,103030,,CRA14122
PURCHASE_ORDER_LINES,81257,102089,Goods,,1,Software,N,EA,873,1,,,,
PURCHASE_ORDER_LINES,85650,138707,Goods,2912,114,Desk Stand Legs - Oak,N,Each,1875,500,,,,
PURCHASE_ORDER_LINES,81478,104336,Goods,,36,MYOB PLUS / ACCOUNT EDGE ADDT LU LICENSE MAC/95+,N,Each,129.14,1,,,,155229
PURCHASE_ORDER_LINES,81476,104334,Goods,,36,"Stop-Step 4-Step Ladder with Right Handrail, 27 inch Top Step, 23-3/4 inch x 33-1/2 inch x 40-3/4 inch",N,EA,643,1,81314,103030,,CRA14122
PURCHASE_ORDER_LINES,81780,104903,Goods,,1,Company Car,N,Each,35588,1,,,,
PURCHASE_ORDER_LINES,82356,105601,Fixed Price Services,,113,Develop Prototype software RE1435,N,Currency,10000,1,,,,
PURCHASE_ORDER_LINES,82746,128678,Goods,628,1,Envoy Deluxe Laptop,N,Each,17870.85,25,,,,
PURCHASE_ORDER_LINES,84289,135527,Goods,5734,30,"18"" LCD Flat Panel Monitor",N,Each,55991,59,,,,
PURCHASE_ORDER_LINES,82334,105577,Goods,73,36,Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset),N,Each,26950,55,,,,
PURCHASE_ORDER_LINES,82605,110517,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,270,10,,,,
PURCHASE_ORDER_LINES,82605,110518,Goods,2376,1,Envoy Upgrade Software,N,Each,300,50,,,,
PURCHASE_ORDER_LINES,82605,110519,Goods,2378,1,Envoy Upgrade Manual,N,Each,600,50,,,,
PURCHASE_ORDER_LINES,82605,110520,Goods,2372,1,Envoy Upgrade Switch,N,Each,240,20,,,,
PURCHASE_ORDER_LINES,82605,110521,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,270,10,,,,
PURCHASE_ORDER_LINES,82605,110522,Goods,2376,1,Envoy Upgrade Software,N,Each,300,50,,,,
PURCHASE_ORDER_LINES,82605,110523,Goods,2378,1,Envoy Upgrade Manual,N,Each,600,50,,,,
PURCHASE_ORDER_LINES,82605,110524,Goods,2372,1,Envoy Upgrade Switch,N,Each,360,30,,,,
PURCHASE_ORDER_LINES,82906,129639,Goods,8269,1,DVD Burner 8X,N,Each,500,1,,,,
PURCHASE_ORDER_LINES,82906,129640,Goods,8321,36,DVD,N,Each,30,1,,,,
PURCHASE_ORDER_LINES,82524,105812,Goods,,36,First Aid Station,N,EA,1799,20,81314,102625,,ACM60003
PURCHASE_ORDER_LINES,83763,133524,Goods,,1,Company Car,N,Each,35499,1,,,,
PURCHASE_ORDER_LINES,84408,135646,Goods,,36,Delivery,N,Each,25,1,,,,Delivery
PURCHASE_ORDER_LINES,84408,135647,Goods,,36,Dell OptiPlex? 210L Desktop,N,Each,554,1,,,,68155
PURCHASE_ORDER_LINES,83313,131728,Goods,,1,Company Car,N,Each,36714,1,,,,
PURCHASE_ORDER_LINES,83963,133864,Goods,,1,Toshiba Laptop,N,Each,3053,1,,,,
PURCHASE_ORDER_LINES,83603,133262,Goods,,1,Dell Desktop,N,Each,3118,1,,,,
PURCHASE_ORDER_LINES,84589,135986,Goods,,1,Company Car,N,Each,35019,1,,,,
PURCHASE_ORDER_LINES,83312,131727,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,109200,4.2,,,,
PURCHASE_ORDER_LINES,84667,136153,Goods,,1,Dell Desktop,N,Each,2974,1,,,,
PURCHASE_ORDER_LINES,83125,131418,Goods,4818,30,LCD Display,N,Each,19424,4856,,,,
PURCHASE_ORDER_LINES,83125,131419,Goods,4830,32,PCB - Main,N,Each,25670,5134,,,,
PURCHASE_ORDER_LINES,83125,131420,Goods,159,35,Resin,N,POUND,6900,10000,,,,
PURCHASE_ORDER_LINES,83125,131421,Goods,62460,35,Plastic Stock - Bronze,N,Pounds,5720.52,10036,,,,
PURCHASE_ORDER_LINES,83125,131422,Goods,62463,35,Plastic Stock - Silver,N,Pounds,5733.06,10058,,,,
PURCHASE_ORDER_LINES,83125,131423,Goods,62469,35,Plastic Stock - Gold,N,Pounds,8487,12300,,,,
PURCHASE_ORDER_LINES,83687,133348,Goods,5732,21,File Cabinets -  5 Drawer Lateral (Capitalizable),N,Each,40500,27,,,,
PURCHASE_ORDER_LINES,83456,133031,Goods,,1,Software,N,EA,839,1,,,,
PURCHASE_ORDER_LINES,84113,135296,Goods,73,36,Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset),N,Each,24990,51,,,,
PURCHASE_ORDER_LINES,85630,138687,Goods,174779,3124,Head Light for Vehicle,N,Each,2500,100,,,,
PURCHASE_ORDER_LINES,85590,138647,Goods,5560,1353,Legal Services,N,HRS,94500,210,,,,
PURCHASE_ORDER_LINES,85711,138808,Goods,63475,31,Hard Drive - A series,N,Each,4300,100,,,,
PURCHASE_ORDER_LINES,85711,138809,Goods,63476,31,Hard Drive - B series,N,Each,5000,100,,,,
PURCHASE_ORDER_LINES,85063,137823,Goods,,36,"Sharpie 30174 Permanent Marker Set of 4 (Red, Blue, Green, Black)",N,EA,159.5,50,81215,101977,,30174
PURCHASE_ORDER_LINES,85541,138589,Goods,5734,30,"18"" LCD Flat Panel Monitor",N,Each,51246,54,,,,
PURCHASE_ORDER_LINES,84918,137696,Goods,,1,Company Car,N,Each,33860,1,,,,
PURCHASE_ORDER_LINES,85754,138891,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,106600,4.1,,,,
PURCHASE_ORDER_LINES,86017,139365,Goods,,1,Dell Desktop,N,Each,3080,1,,,,
PURCHASE_ORDER_LINES,85828,139067,Goods,,1,Software,N,EA,828,1,,,,
PURCHASE_ORDER_LINES,86174,139565,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,260,10,,,,
PURCHASE_ORDER_LINES,86174,139566,Goods,2376,1,Envoy Upgrade Software,N,Each,300,50,,,,
PURCHASE_ORDER_LINES,86174,139567,Goods,2378,1,Envoy Upgrade Manual,N,Each,550,50,,,,
PURCHASE_ORDER_LINES,86174,139568,Goods,2372,1,Envoy Upgrade Switch,N,Each,110,10,,,,
PURCHASE_ORDER_LINES,86174,139569,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,260,10,,,,
PURCHASE_ORDER_LINES,86174,139570,Goods,2376,1,Envoy Upgrade Software,N,Each,300,50,,,,
PURCHASE_ORDER_LINES,86174,139571,Goods,2378,1,Envoy Upgrade Manual,N,Each,550,50,,,,
PURCHASE_ORDER_LINES,86174,139572,Goods,2372,1,Envoy Upgrade Switch,N,Each,110,10,,,,
PURCHASE_ORDER_LINES,85350,138301,Goods,75,36,Paper - requires 2-way match office supply item,N,Each,13550,271,,,,
PURCHASE_ORDER_LINES,86137,139488,Goods,71,21,"Desk - Capitalizable, taxable item",N,Each,92500,37,,,,
PURCHASE_ORDER_LINES,86240,139680,Goods,,1,Company Car,N,Each,35066,1,,,,
PURCHASE_ORDER_LINES,87749,141780,Goods,,1,Toshiba Laptop,N,Each,2947,1,,,,
PURCHASE_ORDER_LINES,87881,141977,Goods,138725,32,Power Relay,N,Each,3450,1000,,,,
PURCHASE_ORDER_LINES,88103,142245,Goods,174763,3097,"Body Casting, Shutter Unit",N,Each,12500,500,,,,
PURCHASE_ORDER_LINES,88103,142246,Goods,174764,3097,CCD for 5 Megapixel Digital Camera,N,Each,10500,500,,,,
PURCHASE_ORDER_LINES,88103,142247,Goods,174765,3097,Motor Rotation Reducing Base Plate,N,Each,20500,500,,,,
PURCHASE_ORDER_LINES,88103,142248,Goods,174766,3097,AF Drive Unit,N,Each,20000,500,,,,
PURCHASE_ORDER_LINES,88103,142249,Goods,174767,3097,Lens for Digital Camera,N,Each,19500,500,,,,
PURCHASE_ORDER_LINES,87539,141568,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,1014000,39,,,,
PURCHASE_ORDER_LINES,87128,140821,Goods,8269,1,DVD Burner 8X,N,Each,500,1,,,,
PURCHASE_ORDER_LINES,87128,140822,Goods,8321,36,DVD,N,Each,30,1,,,,
PURCHASE_ORDER_LINES,87143,140868,Goods,,1,File Folders,N,EA,19,19,81215,101980,,FF100
PURCHASE_ORDER_LINES,87205,141010,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,230,10,,,,
PURCHASE_ORDER_LINES,87205,141011,Goods,2376,1,Envoy Upgrade Software,N,Each,200,50,,,,
PURCHASE_ORDER_LINES,87205,141012,Goods,2378,1,Envoy Upgrade Manual,N,Each,400,50,,,,
PURCHASE_ORDER_LINES,87205,141013,Goods,2372,1,Envoy Upgrade Switch,N,Each,90,10,,,,
PURCHASE_ORDER_LINES,87205,141014,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,230,10,,,,
PURCHASE_ORDER_LINES,87205,141015,Goods,2376,1,Envoy Upgrade Software,N,Each,200,50,,,,
PURCHASE_ORDER_LINES,87205,141016,Goods,2378,1,Envoy Upgrade Manual,N,Each,400,50,,,,
PURCHASE_ORDER_LINES,87205,141017,Goods,2372,1,Envoy Upgrade Switch,N,Each,90,10,,,,
PURCHASE_ORDER_LINES,87341,141279,Rate Based Temp Labor,,2662,Temporary Business Consultant in Vision Corp,N,Hour,1200,1,38375,46140,,
PURCHASE_ORDER_LINES,87291,141226,Goods,5372,1353,Advertising Services,N,HRS,124800,312,,,,
PURCHASE_ORDER_LINES,87296,141231,Goods,5560,1353,Legal Services,N,HRS,102150,227,,,,
PURCHASE_ORDER_LINES,87297,141232,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,533000,20.5,,,,
PURCHASE_ORDER_LINES,87297,141233,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,319800,12.3,,,,
PURCHASE_ORDER_LINES,87297,141234,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,202800,7.8,,,,
PURCHASE_ORDER_LINES,87298,141235,Goods,5728,1354,Weekly Warehousing,N,Week,780000,31.2,,,,
PURCHASE_ORDER_LINES,87211,141023,Goods,,36,"Stop-Step 3-Step Ladder, 27 cm Top Step, 21 cm x 26-3/4 cm x 31-3/4 cm",N,EA,428,1,83988,134239,,CRA13002
PURCHASE_ORDER_LINES,87882,141978,Goods,138723,32,12X DIP Switch,N,Each,17850,3500,,,,
PURCHASE_ORDER_LINES,87981,142117,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,87744,141775,Goods,,1,Dell Desktop,N,Each,3009,1,,,,
PURCHASE_ORDER_LINES,88431,142641,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,197600,7.6,,,,
PURCHASE_ORDER_LINES,88553,142783,Goods,5552,1353,Public Relations Services,N,HRS,980000,2800,,,,
PURCHASE_ORDER_LINES,88653,142903,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,89777,144414,Goods,,1,Printers,N,Each,20000,5,,,,
PURCHASE_ORDER_LINES,89115,143509,Goods,,1,Toshiba Laptop,N,Each,2936,1,,,,
PURCHASE_ORDER_LINES,88798,143130,Goods,5728,1354,Weekly Warehousing,N,Week,760000,30.4,,,,
PURCHASE_ORDER_LINES,88799,143131,Goods,,1,Company Car,N,Each,34135,1,,,,
PURCHASE_ORDER_LINES,89878,144515,Goods,5560,1353,Legal Services,N,HRS,188100,418,,,,
PURCHASE_ORDER_LINES,88188,142350,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,89436,143988,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,988000,38,,,,
PURCHASE_ORDER_LINES,88974,143326,Goods,,1,Software,N,EA,858,1,,,,
PURCHASE_ORDER_LINES,88432,142642,Goods,,1,Software,N,EA,806,1,,,,
PURCHASE_ORDER_LINES,89881,144518,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,592800,22.8,,,,
PURCHASE_ORDER_LINES,90162,145059,Goods,,1,Company Car,N,Each,34215,1,,,,
PURCHASE_ORDER_LINES,90067,144764,Goods,628,1,Envoy Deluxe Laptop,N,Each,55042.218,77,,,,
PURCHASE_ORDER_LINES,90165,145062,Goods,,1,Toshiba Laptop,N,Each,2943,1,,,,
PURCHASE_ORDER_LINES,90069,144766,Goods,628,1,Envoy Deluxe Laptop,N,Each,56471.886,79,,,,
PURCHASE_ORDER_LINES,90045,144742,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,90065,144762,Goods,628,1,Envoy Deluxe Laptop,N,Each,53612.55,75,,,,
PURCHASE_ORDER_LINES,90066,144763,Goods,628,1,Envoy Deluxe Laptop,N,Each,54327.384,76,,,,
PURCHASE_ORDER_LINES,90025,144722,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,252.5,10,,,,
PURCHASE_ORDER_LINES,90025,144723,Goods,2376,1,Envoy Upgrade Software,N,Each,262.5,50,,,,
PURCHASE_ORDER_LINES,90025,144724,Goods,2378,1,Envoy Upgrade Manual,N,Each,512.5,50,,,,
PURCHASE_ORDER_LINES,90025,144725,Goods,2372,1,Envoy Upgrade Switch,N,Each,205,20,,,,
PURCHASE_ORDER_LINES,90025,144726,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,252.5,10,,,,
PURCHASE_ORDER_LINES,90025,144727,Goods,2376,1,Envoy Upgrade Software,N,Each,262.5,50,,,,
PURCHASE_ORDER_LINES,90025,144728,Goods,2378,1,Envoy Upgrade Manual,N,Each,512.5,50,,,,
PURCHASE_ORDER_LINES,90025,144729,Goods,2372,1,Envoy Upgrade Switch,N,Each,205,20,,,,
PURCHASE_ORDER_LINES,90669,146044,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,90718,146104,Goods,,1,Company Car,N,Each,36915,1,,,,
PURCHASE_ORDER_LINES,91382,147157,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,260,10,,,,
PURCHASE_ORDER_LINES,91382,147158,Goods,2376,1,Envoy Upgrade Software,N,Each,300,50,,,,
PURCHASE_ORDER_LINES,91382,147159,Goods,2378,1,Envoy Upgrade Manual,N,Each,550,50,,,,
PURCHASE_ORDER_LINES,91382,147160,Goods,2372,1,Envoy Upgrade Switch,N,Each,220,20,,,,
PURCHASE_ORDER_LINES,91382,147161,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,260,10,,,,
PURCHASE_ORDER_LINES,91382,147162,Goods,2376,1,Envoy Upgrade Software,N,Each,300,50,,,,
PURCHASE_ORDER_LINES,91382,147163,Goods,2378,1,Envoy Upgrade Manual,N,Each,550,50,,,,
PURCHASE_ORDER_LINES,91382,147164,Goods,2372,1,Envoy Upgrade Switch,N,Each,220,20,,,,
PURCHASE_ORDER_LINES,91401,147169,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,91683,147499,Goods,5734,30,"18"" LCD Flat Panel Monitor",N,Each,110084,116,,,,
PURCHASE_ORDER_LINES,90758,146144,Goods,,1,Dell Desktop,N,Each,3135,1,,,,
PURCHASE_ORDER_LINES,91242,146844,Goods,,1,Software,N,EA,897,1,,,,
PURCHASE_ORDER_LINES,92017,147961,Goods,,1,Toshiba Laptop,N,Each,2463,1,,,,
PURCHASE_ORDER_LINES,90536,145737,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,546000,21,,,,
PURCHASE_ORDER_LINES,91262,147010,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,1066000,41,,,,
PURCHASE_ORDER_LINES,90903,146398,Goods,5728,1354,Weekly Warehousing,N,Week,820000,32.8,,,,
PURCHASE_ORDER_LINES,91601,147416,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,92097,148081,Goods,5728,1354,Weekly Warehousing,N,Week,682500,27.3,,,,
PURCHASE_ORDER_LINES,90658,145944,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,213200,8.2,,,,
PURCHASE_ORDER_LINES,90698,146084,Goods,5552,1353,Public Relations Services,N,HRS,1058400,3024,,,,
PURCHASE_ORDER_LINES,91381,147149,Goods,2370,1,Envoy Upgrade Board (Raw),Y,Each,0,0,,,,
PURCHASE_ORDER_LINES,91381,147150,Goods,2376,1,Envoy Upgrade Software,Y,Each,0,0,,,,
PURCHASE_ORDER_LINES,91381,147151,Goods,2378,1,Envoy Upgrade Manual,Y,Each,0,0,,,,
PURCHASE_ORDER_LINES,91381,147152,Goods,2372,1,Envoy Upgrade Switch,Y,Each,0,0,,,,
PURCHASE_ORDER_LINES,91381,147153,Goods,2370,1,Envoy Upgrade Board (Raw),Y,Each,0,0,,,,
PURCHASE_ORDER_LINES,91381,147155,Goods,2376,1,Envoy Upgrade Software,Y,Each,0,0,,,,
PURCHASE_ORDER_LINES,91381,147154,Goods,2378,1,Envoy Upgrade Manual,Y,Each,0,0,,,,
PURCHASE_ORDER_LINES,91381,147156,Goods,2372,1,Envoy Upgrade Switch,Y,Each,0,0,,,,
PURCHASE_ORDER_LINES,92949,149344,Goods,,1,Company Car,N,Each,37211,1,,,,
PURCHASE_ORDER_LINES,93094,149563,Goods,,1,Software,N,EA,850,1,,,,
PURCHASE_ORDER_LINES,92971,149382,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,93116,149609,Goods,,1,Toshiba Laptop,N,Each,2615,1,,,,
PURCHASE_ORDER_LINES,92819,149168,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,93518,150252,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,468000,18,,,,
PURCHASE_ORDER_LINES,93237,149830,Goods,71,21,"Desk - Capitalizable, taxable item",N,Each,95000,38,,,,
PURCHASE_ORDER_LINES,92779,149088,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,93239,149832,Goods,,1,Company Car,N,Each,35980,1,,,,
PURCHASE_ORDER_LINES,92528,148772,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,507000,19.5,,,,
PURCHASE_ORDER_LINES,92319,148433,Goods,,1,Toshiba Laptop,N,Each,2914,1,,,,
PURCHASE_ORDER_LINES,92593,148837,Goods,73,36,Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset),N,Each,46060,94,,,,
PURCHASE_ORDER_LINES,92277,148361,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,250,10,,,,
PURCHASE_ORDER_LINES,92277,148362,Goods,2372,1,Envoy Upgrade Switch,N,Each,200,20,,,,
PURCHASE_ORDER_LINES,92277,148363,Goods,2376,1,Envoy Upgrade Software,N,Each,250,50,,,,
PURCHASE_ORDER_LINES,92277,148364,Goods,2378,1,Envoy Upgrade Manual,N,Each,500,50,,,,
PURCHASE_ORDER_LINES,92277,148365,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,250,10,,,,
PURCHASE_ORDER_LINES,92277,148366,Goods,2372,1,Envoy Upgrade Switch,N,Each,200,20,,,,
PURCHASE_ORDER_LINES,92277,148367,Goods,2376,1,Envoy Upgrade Software,N,Each,250,50,,,,
PURCHASE_ORDER_LINES,92277,148368,Goods,2378,1,Envoy Upgrade Manual,N,Each,500,50,,,,
PURCHASE_ORDER_LINES,93476,150210,Fixed Price Services,,14833,New Store Construction: Redwood City Store 419,N,Currency,680000,1,,,,
PURCHASE_ORDER_LINES,93563,150304,Goods,73,36,Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset),N,Each,21070,43,,,,
PURCHASE_ORDER_LINES,93624,150367,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,93665,150462,Goods,75,36,Paper - requires 2-way match office supply item,N,Each,12600,252,,,,
PURCHASE_ORDER_LINES,93010,149405,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,93600,3.6,,,,
PURCHASE_ORDER_LINES,94223,151384,Goods,5552,1353,Public Relations Services,N,HRS,515200,1472,,,,
PURCHASE_ORDER_LINES,94823,152339,Goods,73,36,Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset),N,Each,23520,48,,,,
PURCHASE_ORDER_LINES,94677,152114,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,520000,20,,,,
PURCHASE_ORDER_LINES,95096,152705,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,101400,3.9,,,,
PURCHASE_ORDER_LINES,94325,151615,Goods,5728,1354,Weekly Warehousing,N,Week,400000,16,,,,
PURCHASE_ORDER_LINES,94326,151616,Goods,71,21,"Desk - Capitalizable, taxable item",N,Each,92500,37,,,,
PURCHASE_ORDER_LINES,94327,151617,Goods,5732,21,File Cabinets -  5 Drawer Lateral (Capitalizable),N,Each,39000,26,,,,
PURCHASE_ORDER_LINES,93880,150731,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,94678,152115,Goods,,1,Software,N,EA,871,1,,,,
PURCHASE_ORDER_LINES,94694,152127,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,93901,150772,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,280800,10.8,,,,
PURCHASE_ORDER_LINES,94336,151631,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,94083,151084,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,104000,4,,,,
PURCHASE_ORDER_LINES,95046,152655,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,94103,151264,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,95875,153836,Goods,75,36,Paper - requires 2-way match office supply item,N,Each,13600,272,,,,
PURCHASE_ORDER_LINES,95459,153236,Goods,,36,"2900 Series High Back Chair, Black Leather with Mahogany Finish",N,Each,831,1,,,,372989
PURCHASE_ORDER_LINES,95459,153237,Goods,,36,"2900 Series High Back Chair, Navy Leather with Mahogany Finish",N,Each,831,1,,,,373003
PURCHASE_ORDER_LINES,95460,153238,Goods,,36,"2021 Steel Executive Leather Chair with Steel Loop Arms, Black Powder Coated Finish, Steel Surface and Frame, Leather Upholstery, 44-1/2 inches x 26-1/4 inches x 27-1/2 inches",N,Each,249.95,1,,,,E42021SR11T
PURCHASE_ORDER_LINES,95461,153239,Goods,,36,4.0GB 667MHz Non-ECC DDR2 SDRAM (2*2GB DIMM) Memory,N,Each,264,1,,,,"60,120,559,474,122"
