"RECORD_TYPE:ITEMS","ITEM_ID","ITEM_CODE","DESCRIPTION","STOCKABLE","SELLABLE","UOM_CODE","UOM_NAME","TARGET_PRICE","ITEM_STATUS","RESTRICT_SUPPLIERS","ITEM_TYPE","CATEGORY_ID","FROM_ROWNUMBER"
"ITEMS",155,"AS18947","Sentinel Deluxe Desktop","Y","Y","Ea","Each",1207.86,"Active","N","Finished good",91,18
"ITEMS",157,"RW15027","Plastic Stock - White","Y","N","Lbs","Pounds",0.57,"Active","N","Purchased item",35,19
"ITEMS",159,"RW40302","Resin","Y","N","Lbs","Pounds",0.69,"Active","N","Purchased item",35,20
"ITEMS",161,"SB56349","Drive Mount Assembly","Y","Y","Ea","Each",6.126,"Active","N","Subassembly",114,21
"ITEMS",163,"MC48735","Drive Mount - Top - White","Y","N","Ea","Each",0.126,"Active","N","Subassembly",112,22
"ITEMS",165,"MC61888","Drive Mount - Bottom - White","Y","N","Ea","Each",0.126,"Active","N","Subassembly",112,23
"ITEMS",167,"CM96717","Screws.Steel.32.Phillips","Y","N","Ea","Each",0.004,"Active","N","Purchased item",35,24
"ITEMS",169,"CM45470","Drive Mount Faceplate","Y","Y","Ea","Each",1.95,"Active","N","Purchased item",112,25
"ITEMS",171,"MC31324","Motherboard Holder - White","Y","N","Ea","Each",0.126,"Active","N","Subassembly",112,26
"ITEMS",173,"MC31749","Standard Steel Case","Y","Y","Ea","Each",7,"Active","N","Subassembly",112,27
"ITEMS",175,"SB86662","Desktop Case","Y","Y","Ea","Each",68.59,"Active","N","Subassembly",114,28
"ITEMS",177,"CM85062","Card Holder","Y","Y","Ea","Each",7.5,"Active","N","Purchased item",112,29
"ITEMS",179,"CM45098","Slot Cover","Y","Y","Ea","Each",0.18,"Active","N","Purchased item",112,30
"ITEMS",181,"CM52293","Power Supply","Y","Y","Ea","Each",109,"Active","N","Purchased item",34,31
"ITEMS",183,"CM22473","Motherboard - 600 Series","Y","Y","Ea","Each",106,"Active","N","Purchased item",32,32
"ITEMS",185,"CM41684","Hard Drive - 60GB","Y","Y","Ea","Each",201.762,"Active","N","Purchased item",31,33
"ITEMS",187,"CM67433","Memory Card 5-in-1 Reader","Y","Y","Ea","Each",45,"Active","N","Purchased item",31,34
"ITEMS",189,"CM47234","DVD/RW (R DL) / DVD-RAM - 16x/16x/5x Internal","Y","Y","Ea","Each",100.72,"Active","N","Purchased item",32,35
"ITEMS",191,"CM76962","Video Card","Y","Y","Ea","Each",75,"Active","N","Purchased item",32,36
"ITEMS",193,"CM60257","RAM - 128MB","Y","Y","Ea","Each",78,"Active","N","Purchased item",32,37
"ITEMS",195,"CM74237","Sound Card","Y","Y","Ea","Each",65,"Active","N","Purchased item",32,38
"ITEMS",197,"CM94043","Wi-Fi Network Card","Y","Y","Ea","Each",87,"Active","N","Purchased item",32,39
"ITEMS",199,"CM31556","Monitor - 19"" Flat","Y","Y","Ea","Each",49.9463,"Active","N","Purchased item",30,40
"ITEMS",201,"CM18759","Keyboard - 101 Key","Y","Y","Ea","Each",30,"Active","N","Purchased item",32,41
"ITEMS",203,"CM25175","Manual - Vision Office Suite","Y","Y","Ea","Each",17,"Active","N","Purchased item",111,42
"ITEMS",205,"CM13375","Manual - Vision Operating System","Y","Y","Ea","Each",17,"Active","N","Purchased item",111,43
"ITEMS",207,"CM85773","Manual - Vision Networking","Y","Y","Ea","Each",17,"Active","N","Purchased item",111,44
"ITEMS",209,"CM86324","Packing Material","Y","Y","Ea","Each",1.5,"Active","N","Purchased item",1,45
"ITEMS",211,"CM42047","Power Cord","Y","Y","Ea","Each",1,"Active","N","Purchased item",32,46
"ITEMS",213,"CM28287","Wireless Mouse","Y","Y","Ea","Each",15,"Active","N","Purchased item",32,47
"ITEMS",215,"CM54321","Software - Word Processing","Y","Y","Ea","Each",26.7,"Active","N","Purchased item",113,48
"ITEMS",217,"CM56560","Software - Web Browser","Y","Y","Ea","Each",44,"Active","N","Purchased item",113,49
"ITEMS",219,"CM59311","Software - Spreadsheet","Y","Y","Ea","Each",75,"Active","N","Purchased item",113,50
"ITEMS",221,"SB55105","SW - Standard Set","Y","Y","Ea","Each",173,"Active","N","Subassembly",114,51
"ITEMS",225,"CM15140","Monitor - 19""","Y","Y","Ea","Each",44.3963,"Active","N","Purchased item",30,52
"ITEMS",227,"CM68377","14"" WXGA Monitor","Y","Y","Ea","Each",443.82,"Active","N","Purchased item",30,53
"ITEMS",229,"CM69930","Spill Resistant Keyboard","Y","Y","Ea","Each",49,"Active","N","Purchased item",32,54
"ITEMS",231,"CM89108","Power / Recharging Unit","Y","Y","Ea","Each",26.34,"Active","N","Purchased item",34,55
"ITEMS",233,"SB10299","Cover Assembly","Y","Y","Ea","Each",16.247,"Active","N","Subassembly",114,56
"ITEMS",235,"SB34701","Base Assembly","Y","Y","Ea","Each",6.539,"Active","N","Subassembly",114,57
"ITEMS",237,"CM32546","Battery -  Li Ion Pack (6 Cell)","Y","Y","Ea","Each",58,"Active","N","Purchased item",32,58
"ITEMS",239,"SB90207","Chassis - Sentinel Standard","Y","Y","Ea","Each",688.86,"Active","N","Subassembly",114,59
"ITEMS",241,"CM25287","Hard Drive - 500GB SSD","Y","Y","Ea","Each",176.02,"Active","N","Purchased item",31,60
"ITEMS",243,"CM35682","Motherboard - 500 Series","Y","Y","Ea","Each",85,"Active","N","Purchased item",32,61
"ITEMS",245,"CM99105","DDR3 SDRAM – 4GB","Y","Y","Ea","Each",47,"Active","N","Purchased item",32,62
"ITEMS",247,"CM15138","Monitor - 17""","Y","Y","Ea","Each",215,"Active","N","Purchased item",30,63
"ITEMS",249,"CM13139","Hard Drive - 250GB SSD","Y","Y","Ea","Each",150.393,"Active","N","Purchased item",31,64
"ITEMS",251,"CM08830","RAM - 256MB","Y","Y","Ea","Each",102,"Active","N","Purchased item",32,65
"ITEMS",253,"CM18761","Ergonomic Keyboard","Y","Y","Ea","Each",48,"Active","N","Purchased item",32,66
"ITEMS",255,"CM65827","Software - Project Management","Y","Y","Ea","Each",10.45,"Active","N","Purchased item",113,67
"ITEMS",257,"CM49954","Software - Graphics","Y","Y","Ea","Each",25.776,"Active","N","Purchased item",113,68
"ITEMS",259,"CM44131","Modem - 56k v.90","Y","Y","Ea","Each",32.589,"Active","N","Purchased item",32,69
"ITEMS",263,"CM94532","Software - English Office Suite","Y","Y","Ea","Each",60,"Active","N","Purchased item",113,70
"ITEMS",269,"SB32982","Manual Set","Y","Y","Ea","Each",102,"Active","N","Subassembly",114,71
"ITEMS",315,"MC97160","Plastic Cover - Black","Y","Y","Ea","Each",0.183,"Active","N","Subassembly",114,72
"ITEMS",321,"RW75172","Plastic Stock - Red","Y","N","Lbs","Pounds",0.57,"Active","N","Purchased item",35,73
"ITEMS",323,"RW54448","Plastic Stock - Black","Y","N","Lbs","Pounds",0.57,"Active","N","Purchased item",35,74
"ITEMS",325,"CM14374","PCMCIA II Card Holder","Y","Y","Ea","Each",15,"Active","N","Purchased item",112,75
"ITEMS",329,"CM30764","Battery Door","Y","Y","Ea","Each",0.5,"Active","N","Purchased item",112,76
"ITEMS",331,"CM63785","Monitor Hinge","Y","Y","Ea","Each",0.56,"Active","N","Purchased item",112,77
"ITEMS",335,"MC55728","Motherboard Holder - White","Y","N","Ea","Each",0.126,"Active","N","Subassembly",114,78
"ITEMS",337,"MC24713","Plastic Base - Black","Y","Y","Ea","Each",0.183,"Active","N","Subassembly",114,79
"ITEMS",341,"MC58902","Drive Mount - White","Y","N","Ea","Each",0.126,"Active","N","Subassembly",114,80
"ITEMS",343,"CM72726","Card Holder","Y","Y","Ea","Each",4.15,"Active","N","Purchased item",112,81
"ITEMS",354,"OP98997","Anodizing Outside Process","N","N","Ea","Each",0,"Active","N","Outside Processing Item",1,82
"ITEMS",374,"RW94713","Sheet Metal","Y","N","FT2","Square foot",1,"Active","N","Purchased item",112,83
"ITEMS",406,"SC94065","Resin","Y","N","Lbs","Pounds",0.69,"Active","N","Purchased item",35,84
"ITEMS",408,"RW94043","Plastic Stock - Gray","Y","N","Lbs","Pounds",0.57,"Active","N","Purchased item",35,85
"ITEMS",414,"f15000","Steel Girders - capitalizable asset (can be used for CIP asset)","N","N","Ea","Each",2100,"Active","N","Purchased item",43,86
"ITEMS",416,"f16000","Dry Wall - capitalizable asset  (can be used for CIP asset)","N","N","Ea","Each",450,"Active","N","Purchased item",43,87
"ITEMS",436,"CM76840","Lightning Inkjet Printer","Y","Y","Ea","Each",165,"Active","N","Purchased item",32,88
"ITEMS",438,"CM74123","Gel Wrist Pad","Y","Y","Ea","Each",1.25,"Active","N","Purchased item",1,89
"ITEMS",452,"f17000","Lumber - capitalizable asset  (can be used for CIP asset)","N","N","Ea","Each",50,"Active","N","Purchased item",43,90
"ITEMS",484,"CM96713","Screws.Zinc.28.Phillips","Y","Y","Ea","Each",0.006,"Active","N","Purchased item",35,91
"ITEMS",488,"CM75111","Monitor 21"" (20 Viewable) Short Depth","Y","Y","Ea","Each",194,"Active","N","Purchased item",30,92
"ITEMS",490,"CM75113","Monitor 21"" (20"" Viewable) Digital","Y","Y","Ea","Each",147,"Active","N","Purchased item",30,93
"ITEMS",502,"CM31558","Monitor 21"" (20"" Viewable) High Resolution","Y","Y","Ea","Each",824,"Active","N","Purchased item",30,94
"ITEMS",544,"CM93827","Memory Card Extreme 17-in-1 Reader","Y","Y","Ea","Each",40.75,"Active","N","Purchased item",31,95
"ITEMS",606,"CM11222","Battery - Extended Life","Y","Y","Ea","Each",100,"Active","N","Purchased item",1,96
"ITEMS",626,"MS21662","Pens, Box of 10","Y","N","Ea","Each",0.4,"Active","N","Supply item",1,97
"ITEMS",628,"AS72111","Envoy Deluxe Laptop","Y","Y","Ea","Each",714.834,"Active","N","Finished good",1,98
"ITEMS",676,"SB10460","Cover Assembly","Y","Y","Ea","Each",16.247,"Active","N","Subassembly",1,99
"ITEMS",702,"MS15501","Electro Static Discharge Bracelet","Y","N","Ea","Each",0.4,"Active","N","Purchased item",1,100
"ITEMS",704,"MS15601","Machine Oil","Y","N","Ea","Each",0.4,"Active","N","Purchased item",1,101
"ITEMS",706,"MS15701","Latex Gloves","Y","Y","Ea","Each",0.4,"Active","N","Purchased item",1,102
"ITEMS",858,"CM11062","Mouse Pad","Y","Y","Ea","Each",3,"Active","N","Purchased item",1,103
"ITEMS",860,"CM71557","Wrist Pad","Y","Y","Ea","Each",2,"Active","N","Purchased item",1,104
"ITEMS",926,"CM23592","Molded Plastic Shell - Bottom","Y","Y","Ea","Each",0,"Active","N","Purchased item",1,105
"ITEMS",930,"CM23593","Plastic Clam Shell - Top","Y","Y","Ea","Each",0,"Active","N","Purchased item",1,106
"ITEMS",1060,"Pallet01","Pallet - Standard","Y","N","Ea","Each",0,"Active","N","Container item",1,107
"ITEMS",1088,"CM99926","Red Plastic Form","Y","Y","Ea","Each",,"Active","N","Purchased item",1,108
"ITEMS",1382,"CM51562","PC Bag - Double Sided, Leather","Y","Y","Ea","Each",95,"Active","N","Purchased item",91,109
"ITEMS",1384,"CM51563","PC Bag - Slimline Leather","Y","Y","Ea","Each",75,"Active","N","Purchased item",91,110
"ITEMS",1492,"CM55243","110 V Power Supply","Y","Y","Ea","Each",44,"Active","N","Purchased item",1,111
"ITEMS",1494,"CM34225","220 V Power Supply","Y","Y","Ea","Each",65,"Active","N","Purchased item",1,112
"ITEMS",1667,"CM82336","Monitor Stand","Y","Y","Ea","Each",18,"Active","N","Purchased item",1,113
"ITEMS",1751,"DBICC"," For DBI cogs posting","Y","Y","Ea","Each",0.0005,"Active","N","Purchased item",1,114
"ITEMS",1757,"KB15138","Monitor 19"" (18 Viewable) Digital","Y","Y","Ea","Each",0,"Active","N","Purchased item",1,115
"ITEMS",1769,"KB18759","Keyboard - 111 Keys","Y","Y","Ea","Each",0,"Active","N","Purchased item",1,116
"ITEMS",1771,"KB28287","Mouse","Y","Y","Ea","Each",0,"Active","N","Purchased item",1,117
"ITEMS",1773,"KB42047","Power Cord","Y","Y","Ea","Each",0,"Active","N","Purchased item",1,118
"ITEMS",1775,"KB86324","Packing Materials","Y","Y","Ea","Each",0,"Active","N","Purchased item",1,119
"ITEMS",2055,"f22000","Oversized Desk - Capitalizable, Taxable Item","N","N","Ea","Each",2500,"Active","N","Purchased item",21,120
"ITEMS",2159,"OP10000","Outside Processing for Desktop Ruggedization Process","N","N","Ea","Each",0,"Active","N","Outside Processing Item",1,121
"ITEMS",2161,"OP20000","Outside Processing - Laptop Ruggedization Process","N","N","Ea","Each",0,"Active","N","Outside Processing Item",1,122
"ITEMS",2362,"SB33687","Sentinal Upgrade Software","Y","Y","Ea","Each",,"Active","N","Subassembly",1,123
"ITEMS",2370,"CM22680","Envoy Upgrade Board (Raw)","Y","Y","Ea","Each",25,"Active","N","Purchased item",1,124
"ITEMS",2372,"CM22684","Envoy Upgrade Switch","Y","Y","Ea","Each",10,"Active","N","Purchased item",1,125
"ITEMS",2376,"CM22682","Envoy Upgrade Software","Y","Y","Ea","Each",5,"Active","N","Purchased item",1,126
"ITEMS",2378,"CM22683","Envoy Upgrade Manual","Y","Y","Ea","Each",10,"Active","N","Purchased item",1,127
"ITEMS",2398,"CM86234","PACKAGING","Y","Y","Ea","Each",1.5,"Active","N","Purchased item",1,128
"ITEMS",2582,"ASO0001","Server User Consone (France)","Y","Y","Ea","Each",,"Active","N","Purchased item",1,129
"ITEMS",2584,"ASO0002","Server User Console (Europe)","Y","Y","Ea","Each",,"Active","N","Purchased item",1,130
"ITEMS",2586,"ASO0003","Server User Console (UK)","Y","Y","Ea","Each",,"Active","N","Purchased item",1,131
"ITEMS",2588,"ASO0004","Server User Console (US)","Y","Y","Ea","Each",,"Active","N","Purchased item",1,132
"ITEMS",2590,"ASO0005","Console Interface","Y","Y","Ea","Each",,"Active","N","Purchased item",1,133
"ITEMS",2592,"ASO0006","Server System Console (France)","Y","Y","Ea","Each",,"Active","N","Purchased item",1,134
"ITEMS",2594,"ASO0007","Server System Console (Europe)","Y","Y","Ea","Each",,"Active","N","Purchased item",1,135
"ITEMS",2596,"ASO0008","Server System Console (UK)","Y","Y","Ea","Each",,"Active","N","Purchased item",1,136
"ITEMS",2598,"ASO0009","Server System Console (US)","Y","Y","Ea","Each",,"Active","N","Purchased item",1,137
"ITEMS",2604,"ASO0013","6KVA UPS","Y","Y","Ea","Each",,"Active","N","Purchased item",1,138
"ITEMS",2616,"ASO0019","Dual CPU @ 400Mhz","Y","Y","Ea","Each",,"Active","N","Purchased item",1,139
"ITEMS",2624,"ASO0023","18.2 GB Disk @ 10000 RPM","Y","Y","Ea","Each",,"Active","N","Purchased item",1,140
"ITEMS",2630,"ASO0010","128 MB DIMM","Y","Y","Ea","Each",,"Active","N","Purchased item",1,141
"ITEMS",2634,"ASO0027","2GB DIMM","Y","Y","Ea","Each",,"Active","N","Purchased item",1,142
"ITEMS",2642,"CM39001","MS Exchange Server Software","Y","Y","Ea","Each",1196.2063,"Active","N","Purchased item",1,143
"ITEMS",2646,"CM39003","Collaboration Software","Y","Y","Ea","Each",2774.9963,"Active","N","Purchased item",1,144
"ITEMS",2686,"CM00060","10 ft RS232 Cable with F/F & 9F/25F Adapters","Y","Y","Ea","Each",14.5,"Active","N","Purchased item",1,145
"ITEMS",2790,"ASO0012","3KVA UPS","Y","Y","Ea","Each",,"Active","N","Purchased item",1,146
"ITEMS",2792,"CM39000","MS Server Software","Y","Y","Ea","Each",546.1163,"Active","N","Purchased item",1,147
"ITEMS",2810,"AS65101","Vision Pad - Bronze","Y","Y","Ea","Each",,"Active","N","Finished good",1,148
"ITEMS",2818,"SB65209","Motherboard - Silver","Y","Y","Ea","Each",,"Active","N","Subassembly",1,149
"ITEMS",2824,"SB65302","Casing Subassembly - Silver","Y","Y","Ea","Each",,"Active","N","Subassembly",1,150
"ITEMS",2828,"CM65305","PCB Board","Y","Y","Ea","Each",5,"Active","N","Purchased item",1,151
"ITEMS",2830,"CM65405","Capacitor","Y","Y","Ea","Each",0.005,"Active","N","Purchased item",1,152
"ITEMS",2832,"CM65409","Resistor","Y","Y","Ea","Each",0.025,"Active","N","Purchased item",1,153
"ITEMS",2834,"CM65413","Transistor","Y","Y","Ea","Each",0.025,"Active","N","Purchased item",1,154
"ITEMS",2836,"CM65404","Oscillator","Y","Y","Ea","Each",0.005,"Active","N","Purchased item",1,155
"ITEMS",2838,"CM65201","LCD 9"" Passive Monitor","Y","Y","Ea","Each",200,"Active","N","Purchased item",1,156
"ITEMS",2840,"CM65205","Casing - Upper","Y","Y","Ea","Each",2.5,"Active","N","Purchased item",1,157
"ITEMS",2842,"CM65206","Casing - Lower","Y","Y","Ea","Each",2.25,"Active","N","Purchased item",1,158
"ITEMS",2844,"CM65207","Screw","Y","Y","Ea","Each",0.0025,"Active","N","Purchased item",1,159
"ITEMS",2846,"CM65202","LCD 11"" Passive Monitor","Y","Y","Ea","Each",300,"Active","N","Purchased item",1,160
"ITEMS",2848,"AS66311","Vision Pad DX - Mobile Computer","Y","Y","Ea","Each",249.99,"Active","N","Finished good",1,161
"ITEMS",2850,"CM66321","LCD Display","Y","Y","Ea","Each",4,"Active","Y","Purchased item",1,162
"ITEMS",2852,"CM66326","Plastic Case","Y","Y","Ea","Each",1.2,"Active","Y","Purchased item",1,163
"ITEMS",2856,"CM66332","PCB - Main","Y","Y","Ea","Each",5,"Active","Y","Purchased item",1,164
"ITEMS",2858,"CM66331","Micro 24k","Y","Y","Ea","Each",2.5,"Active","Y","Purchased item",1,165
"ITEMS",2860,"CM66333","Resistor SMT 0.5 kOhm 0603","Y","Y","Ea","Each",0.06,"Active","Y","Purchased item",1,166
"ITEMS",2888,"CM51564","Vision Pad Bag","Y","Y","Ea","Each",5,"Active","N","Purchased item",1,167
"ITEMS",2910,"CM66371","Desk Stand Top - Oak","Y","N","Ea","Each",,"Active","N","Purchased item",1,168
"ITEMS",2912,"CM66372","Desk Stand Legs - Oak","Y","N","Ea","Each",3.75,"Active","N","Purchased item",114,169
"ITEMS",3041,"CM55437","Docking Station","Y","Y","Ea","Each",135,"Active","N","Purchased item",1,170
"ITEMS",3043,"CM51565","Gladiator Leather PC Bag","Y","Y","Ea","Each",,"Active","N","Purchased item",1,171
"ITEMS",3057,"CP20003","700MB Recordable CD 80min","Y","Y","CAS","Case",,"Active","N","Purchased item",1,172
"ITEMS",3077,"CM11199","Replacement Laptop Battery","Y","Y","Ea","Each",,"Active","N","Purchased item",1,173
"ITEMS",3097,"BUSCARDS","Business Cards, Box of 250","N","N","BOX","BOX",35,"Active","N","Purchased item",36,174
"ITEMS",3117,"TEMP-SEC","Temporary Secretarial Services","N","N","DAY","Day",200,"Active","N","Purchased item",242,175
"ITEMS",3751,"CM76845","Lightning Laser Printer","Y","Y","Ea","Each",295,"Active","N","Purchased item",1,176
"ITEMS",3771,"JMKTEST","JMK test item for IP load","N","N","Ea","Each",100,"Active","N","Purchased item",1,177
"ITEMS",4157,"IV02110","IV Vented /NonVented Administration Set with 2 VersaSafe Injection Sites","Y","Y","Ea","Each",17.34,"Active","N","Chargeable Patient Item",1205,178
"ITEMS",4159,"IV18500","IVAC Temperature Probe Covers","Y","Y","Ea","Each",2.45,"Active","N","Non-chargeable Patient Item",1205,179
"ITEMS",4163,"UC13649","Urine Collection and Transportation Kit","Y","Y","Ea","Each",23.12,"Active","N","Chargeable Patient Item",1205,180
"ITEMS",4177,"IV15335","Syringe, 6CC with 21x1 Needle","Y","Y","BX5","Box of 5",4.54,"Active","N","Non-chargeable Patient Item",1205,181
"ITEMS",4179,"UC13679","Urine Collection Tube","Y","Y","Ea","Each",4.99,"Active","N","Chargeable Patient Item",1205,182
"ITEMS",4181,"UC13648","Push broom","Y","Y","Ea","Each",12.5,"Active","N","Purchased item",1205,183
"ITEMS",4187,"IV00021","Syringe, 12CC without needle slip tip","Y","Y","BX5","Box of 5",5.59,"Active","N","Non-chargeable Patient Item",1205,184
"ITEMS",4189,"WC12494","FIBRACOL wound dressing","Y","Y","Ea","Each",1.45,"Active","N","Chargeable Patient Item",1205,185
"ITEMS",4193,"WC14634","BAND-AID bandages","Y","Y","B1H","Box of 100",2.45,"Active","N","Non-chargeable Patient Item",1205,186
"ITEMS",4199,"WC15140","DERMICEL Cloth Tape","Y","Y","ROL","ROLL",1.12,"Active","N","Chargeable Patient Item",1205,187
"ITEMS",4201,"WC17634","NU-GAUZE Sponges","Y","Y","Ea","Each",0.75,"Active","N","Chargeable Patient Item",1205,188
"ITEMS",4203,"WC15147","ADAPTIC Wound Dressing","Y","Y","Ea","Each",0.87,"Active","N","Chargeable Patient Item",1205,189
"ITEMS",4205,"WC12015","Moleskin Adhesive","Y","Y","Ea","Each",1.16,"Active","N","Chargeable Patient Item",1205,190
"ITEMS",4207,"GL11046","MICRO-TOUCH* Medical Exam Gloves - Medium","Y","Y","B50","Box of 50",2.1,"Active","N","Non-chargeable Patient Item",1205,191
"ITEMS",4209,"GL11047","ALLERGARD* Synthetic (non-latex) Surgical Gloves","Y","Y","B50","Box of 50",2.45,"Active","Y","Non-chargeable Patient Item",1205,192
"ITEMS",4237,"Wheel Assembly - Goodyear","Wheel Assembly: Goodyear Eagle GA P205/65R15","Y","Y","Ea","Each",175,"Active","N","Purchased item",2759,193
"ITEMS",4239,"Wheel Assembly - Michelin","Wheel Assembly: Michelin LTX LT215/85R16","Y","Y","Ea","Each",185,"Active","N","Purchased item",2759,194
"ITEMS",4321,"HC31763","Magnetic Resonance Imaging (MRI) 1.5T Signa CV/i  Cardiovascular","N","Y","Ea","Each",1500000,"Active","N","Purchased item",1206,195
"ITEMS",4339,"GS00115","Cleanup wipes","Y","Y","BG","Bag",0.96,"Active","N","Purchased item",3124,196
"ITEMS",4341,"GS00293","Bottled water","Y","Y","CTN","CARTON",63.35,"Active","N","Purchased item",3124,197
"ITEMS",4343,"GS01355","Cap Red Safesite","Y","Y","B1H","Box of 100",12.5,"Active","N","Non-chargeable Patient Item",1082,198
"ITEMS",4345,"UC00167","Floor cleaner","Y","Y","CS6","Case of 6",49.9,"Active","N","Purchased item",1205,199
"ITEMS",4347,"GS00964","Glass cleaner","Y","Y","CS6","Case of 6",7.02,"Active","N","Purchased item",3124,200
"ITEMS",4442,"CM11911","Wireless Mouse","Y","Y","Ea","Each",67.85,"Active","N","Purchased item",1,201
"ITEMS",4508,"Radio Frequency Receiver","Radio Frequency Receiver","Y","N","Ea","Each",,"Active","N","Inventory Type",1,202
"ITEMS",4576,"WM107","Multi Function Printer","Y","Y","Ea","Each",,"Active","N","Purchased item",1,203
"ITEMS",4578,"WM119","Photo Quality Printer","Y","Y","Ea","Each",,"Active","N","Purchased item",1,204
"ITEMS",4586,"WM619","Flat Panel Speaker System TPD","Y","Y","Ea","Each",,"Active","N","Purchased item",1,205
"ITEMS",4604,"WM233","56 kv V.90 Fax Modem (Internal)","Y","Y","Ea","Each",,"Active","N","Purchased item",1,206
"ITEMS",4620,"WM500","18.1"" TFT-LCD Monitor TPD","Y","Y","Ea","Each",,"Active","N","Purchased item",1,207
"ITEMS",4630,"WM579","15"" TFT-LCD Flat Panel Monitor TPD","Y","Y","Ea","Each",,"Active","N","Purchased item",1,208
"ITEMS",4642,"SMC1000","Raw Wafer","Y","Y","Ea","Each",15,"Active","N","Purchased item",1,209
"ITEMS",4725,"CM08512","RAM - 512MB","Y","Y","Ea","Each",,"Active","N","Purchased item",1,210
"ITEMS",4747,"CM41020","Hard Drive - 120GB","Y","Y","Ea","Each",25.8963,"Active","N","Purchased item",1,211
"ITEMS",4749,"CM41420","Hard Drive - 40GB","Y","Y","Ea","Each",,"Active","N","Purchased item",1,212
"ITEMS",4751,"CM41520","Hard Drive - 500GB","Y","Y","Ea","Each",31.4463,"Active","N","Purchased item",1,213
"ITEMS",4761,"CM62301","Laser Printer 6 ppm","Y","Y","Ea","Each",100,"Active","N","Subassembly",1,214
"ITEMS",4763,"CM62302","Laser Printer - 20 ppm","Y","Y","Ea","Each",200,"Active","N","Subassembly",1,215
"ITEMS",4774,"f50010","General Purpose Rat Poison","Y","N","Lbs","Pounds",10,"Active","N","Purchased item",1,216
"ITEMS",4776,"f50020","General Purpose Ant Spray, 6 cans per pack","Y","N","Ea","Each",20,"Active","N","Purchased item",1,217
"ITEMS",4814,"AS66312","Vision Pad SX - Mobile Computer","Y","Y","Ea","Each",289.99,"Active","N","Finished good",1,218
"ITEMS",4816,"AS66313","Vision Pad ZX - Mobile Computer","Y","Y","Ea","Each",309.99,"Active","N","Finished good",1,219
"ITEMS",4818,"CM66322","LCD Display","Y","Y","Ea","Each",4,"Active","Y","Purchased item",30,220
"ITEMS",4820,"CM66323","LCD Display","Y","Y","Ea","Each",4,"Active","Y","Purchased item",1,221
"ITEMS",4822,"CM66327","Plastic Case","Y","Y","Ea","Each",1.2,"Active","Y","Purchased item",1,222
"ITEMS",4824,"CM66328","Plastic Case","Y","Y","Ea","Each",1.2,"Active","Y","Purchased item",1,223
"ITEMS",4830,"CM66334","PCB - Main","Y","Y","Ea","Each",5,"Active","Y","Purchased item",32,224
"ITEMS",4832,"CM66337","PCB - Main","Y","Y","Ea","Each",5,"Active","Y","Purchased item",1,225
"ITEMS",4834,"CM66335","Micro 48k","Y","Y","Ea","Each",2.5,"Active","Y","Purchased item",1,226
"ITEMS",4836,"CM66338","Micro 64k","Y","Y","Ea","Each",2.5,"Active","Y","Purchased item",1,227
