RECORD_TYPE:UOM_ITEM_CONVERSIONS,ITEM_ID,FROM_UOM_CODE,FROM_UOM_CLASS,TO_UOM_CODE,TO_UOM_CLASS,CONVERSION_RATE
UOM_ITEM_CONVERSIONS,208975,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,211011,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,212015,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,216019,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,219028,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,219031,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,228173,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,229181,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,233197,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,2243,EA,CNT,CSE,CNT,288
UOM_ITEM_CONVERSIONS,4632,Ea,Quantity,WCS,Quantity,20
UOM_ITEM_CONVERSIONS,99619,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,106614,Ea,Quantity,ROL,Quantity,1000
UOM_ITEM_CONVERSIONS,217023,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,216021,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,219027,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,233203,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,228172,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,233198,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,228202,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,1254,Ea,Quantity,WCS,Quantity,8
UOM_ITEM_CONVERSIONS,2244,DOZ,CNT,CSE,CNT,144
UOM_ITEM_CONVERSIONS,3117,DAY,Time,DAY,Time,8
UOM_ITEM_CONVERSIONS,4634,Ea,Quantity,WCS,Quantity,25
UOM_ITEM_CONVERSIONS,10472,BTL,CNT,BTL,CNT,1
UOM_ITEM_CONVERSIONS,11200,EA,CNT,CSE,CNT,24
UOM_ITEM_CONVERSIONS,99616,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,99623,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,134694,BTL,CNT,BTL,CNT,1
UOM_ITEM_CONVERSIONS,177780,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,208976,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,207963,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,212007,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,211014,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,211008,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,211009,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,233201,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,229177,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,229176,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,2245,GL,CNT,CSE,CNT,40
UOM_ITEM_CONVERSIONS,4578,Ea,Quantity,WCS,Quantity,25
UOM_ITEM_CONVERSIONS,4582,Ea,Quantity,WCS,Quantity,25
UOM_ITEM_CONVERSIONS,4586,Ea,Quantity,WCS,Quantity,25
UOM_ITEM_CONVERSIONS,9709,EA,CNT,CSE,CNT,24
UOM_ITEM_CONVERSIONS,77621,EA,CNT,CSE,CNT,24
UOM_ITEM_CONVERSIONS,99612,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,99613,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,110634,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,159733,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,186836,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,208974,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,216020,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,219029,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,228175,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,233205,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,233196,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,1254,Ea,Quantity,WPL,Quantity,80
UOM_ITEM_CONVERSIONS,2241,EA,CNT,CSE,CNT,6
UOM_ITEM_CONVERSIONS,4576,Ea,Quantity,WCS,Quantity,15
UOM_ITEM_CONVERSIONS,77622,EA,CNT,CSE,CNT,24
UOM_ITEM_CONVERSIONS,99617,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,99620,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,110628,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,110633,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,111635,CAS,Package,CAS,Package,1
UOM_ITEM_CONVERSIONS,159734,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,159736,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,208973,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,208978,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,211013,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,212009,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,219030,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,219032,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,229178,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,229175,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,4632,Ea,Quantity,WPL,Quantity,75
UOM_ITEM_CONVERSIONS,4634,Ea,Quantity,WPL,Quantity,100
UOM_ITEM_CONVERSIONS,159735,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,190881,Ea,Quantity,TB,Quantity,75
UOM_ITEM_CONVERSIONS,190883,Ea,Quantity,REL,Quantity,5000
UOM_ITEM_CONVERSIONS,211015,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,211010,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,212008,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,219033,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,219034,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,228174,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,229180,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,227172,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,374,FT2,Area,Lbs,Weight,4
UOM_ITEM_CONVERSIONS,213,Ea,Quantity,Box,Package,24
UOM_ITEM_CONVERSIONS,201,Ea,Quantity,Box,Package,12
UOM_ITEM_CONVERSIONS,648,Ea,Quantity,Box,Package,4
UOM_ITEM_CONVERSIONS,2291,GL,VOL,LB,MASS,1
UOM_ITEM_CONVERSIONS,2292,GL,VOL,LB,MASS,1
UOM_ITEM_CONVERSIONS,2293,GL,VOL,LB,MASS,1
UOM_ITEM_CONVERSIONS,3027,GL,VOL,LB,MASS,0.2
UOM_ITEM_CONVERSIONS,3028,GL,VOL,LB,MASS,0.1
UOM_ITEM_CONVERSIONS,3029,GL,VOL,LB,MASS,0.1
UOM_ITEM_CONVERSIONS,3031,EA,CNT,LB,MASS,0.5
UOM_ITEM_CONVERSIONS,3032,EA,CNT,GL,VOL,0.066666667
UOM_ITEM_CONVERSIONS,2289,EA,CNT,LB,MASS,100
UOM_ITEM_CONVERSIONS,2194,LB,MASS,FTP,LGTH,0.134394151
UOM_ITEM_CONVERSIONS,2194,LB,MASS,CFT,VOL3,34
UOM_ITEM_CONVERSIONS,2214,LB,MASS,FTP,LGTH,0.031347471
UOM_ITEM_CONVERSIONS,2214,LB,MASS,CFT,VOL3,34
UOM_ITEM_CONVERSIONS,2215,LB,MASS,FTP,LGTH,0.041640641
UOM_ITEM_CONVERSIONS,2215,LB,MASS,CFT,VOL3,34
UOM_ITEM_CONVERSIONS,2216,LB,MASS,FTP,LGTH,0.062089819
UOM_ITEM_CONVERSIONS,2216,LB,MASS,CFT,VOL3,34
UOM_ITEM_CONVERSIONS,2218,LB,MASS,EA,CNT,500
UOM_ITEM_CONVERSIONS,2218,LB,MASS,CFT,VOL3,42
UOM_ITEM_CONVERSIONS,2220,CFT,VOL3,LB,MASS,0.019759253
UOM_ITEM_CONVERSIONS,2222,LB,MASS,DRM,DRM,447
UOM_ITEM_CONVERSIONS,2231,EA,CNT,PKG,PKG,100
UOM_ITEM_CONVERSIONS,2232,EA,CNT,PKG,PKG,1000
UOM_ITEM_CONVERSIONS,2233,LB,MASS,EA,CNT,0.2
UOM_ITEM_CONVERSIONS,2233,LB,MASS,PKG,PKG,20
UOM_ITEM_CONVERSIONS,2234,EA,CNT,PKG,PKG,1000
UOM_ITEM_CONVERSIONS,2237,EA,CNT,LB,MASS,0.2
UOM_ITEM_CONVERSIONS,2237,EA,CNT,CFT,VOL3,1
UOM_ITEM_CONVERSIONS,2239,EA,CNT,LB,MASS,2
UOM_ITEM_CONVERSIONS,2240,EA,CNT,LB,MASS,2
UOM_ITEM_CONVERSIONS,2241,EA,CNT,LB,MASS,0.363636364
UOM_ITEM_CONVERSIONS,2242,EA,CNT,LB,MASS,0.8
UOM_ITEM_CONVERSIONS,2243,EA,CNT,LB,MASS,4
UOM_ITEM_CONVERSIONS,2244,EA,CNT,LB,MASS,4
UOM_ITEM_CONVERSIONS,2245,GL,VOL,LB,MASS,0.2
UOM_ITEM_CONVERSIONS,2247,GL,VOL,LB,MASS,0.117647059
UOM_ITEM_CONVERSIONS,2254,GL,VOL,ALB,ACTM,0.353506787
UOM_ITEM_CONVERSIONS,2254,GL,VOL,LB,MASS,0.119904077
UOM_ITEM_CONVERSIONS,2261,EA,CNT,LB,MASS,0.222222222
UOM_ITEM_CONVERSIONS,2265,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,2269,LB,MASS,EA,CNT,10
UOM_ITEM_CONVERSIONS,2270,LB,MASS,EA,CNT,5
UOM_ITEM_CONVERSIONS,2273,GL,VOL,LB,MASS,0.119904077
UOM_ITEM_CONVERSIONS,2274,FTP,LGTH,LB,MASS,50
UOM_ITEM_CONVERSIONS,2275,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,2276,EA,CNT,LB,MASS,80
UOM_ITEM_CONVERSIONS,2277,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,2280,EA,CNT,LB,MASS,500
UOM_ITEM_CONVERSIONS,2238,EA,CNT,LB,MASS,2
UOM_ITEM_CONVERSIONS,3032,EA,CNT,LB,MASS,0.0125
UOM_ITEM_CONVERSIONS,155,Ea,Quantity,Lbs,Weight,0.04
UOM_ITEM_CONVERSIONS,141,Ea,Quantity,Lbs,Weight,0.04
UOM_ITEM_CONVERSIONS,628,Ea,Quantity,Lbs,Weight,0.04
UOM_ITEM_CONVERSIONS,3039,Ea,Quantity,Lbs,Weight,0.0222222
UOM_ITEM_CONVERSIONS,4703,EA,CNT,GL,VOL,1
UOM_ITEM_CONVERSIONS,4766,EA,CNT,GL,VOL,1
UOM_ITEM_CONVERSIONS,5819,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,5820,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,5821,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,5822,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,5823,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,5824,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,5825,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,5826,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,5827,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,5828,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,5829,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,5830,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,6759,LB,MASS,EA,CNT,1.25
UOM_ITEM_CONVERSIONS,2232,EA,CNT,LB,MASS,25
UOM_ITEM_CONVERSIONS,2234,EA,CNT,LB,MASS,200
UOM_ITEM_CONVERSIONS,2235,EA,CNT,LB,MASS,125
UOM_ITEM_CONVERSIONS,2236,EA,CNT,LB,MASS,100
UOM_ITEM_CONVERSIONS,2253,LB,MASS,EA,CNT,0.25
UOM_ITEM_CONVERSIONS,2223,EA,CNT,LB,MASS,200
UOM_ITEM_CONVERSIONS,2279,EA,CNT,LB,MASS,25
UOM_ITEM_CONVERSIONS,4769,GL,VOL,LB,MASS,0.1
UOM_ITEM_CONVERSIONS,4770,GL,VOL,LB,MASS,0.16
UOM_ITEM_CONVERSIONS,4703,EA,CNT,LB,MASS,0.5
UOM_ITEM_CONVERSIONS,4766,EA,CNT,LB,MASS,0.4
UOM_ITEM_CONVERSIONS,2231,EA,CNT,LB,MASS,10
UOM_ITEM_CONVERSIONS,2245,GL,VOL,EA,CNT,0.1
UOM_ITEM_CONVERSIONS,2247,GL,VOL,EA,CNT,0.05
UOM_ITEM_CONVERSIONS,3033,GL,VOL,LB,MASS,0.125
UOM_ITEM_CONVERSIONS,8829,Ea,Quantity,FT3,Volume,2
UOM_ITEM_CONVERSIONS,8831,Ea,Quantity,FT3,Volume,2
UOM_ITEM_CONVERSIONS,8833,Ea,Quantity,FT3,Volume,2
UOM_ITEM_CONVERSIONS,8835,Ea,Quantity,FT3,Volume,2
UOM_ITEM_CONVERSIONS,8588,EA,CNT,LB,MASS,0.1
UOM_ITEM_CONVERSIONS,8589,EA,CNT,LB,MASS,0.1
UOM_ITEM_CONVERSIONS,8590,EA,CNT,LB,MASS,0.1
UOM_ITEM_CONVERSIONS,9709,EA,CNT,LB,MASS,3.5
UOM_ITEM_CONVERSIONS,9710,EA,CNT,LB,MASS,3.5555556
UOM_ITEM_CONVERSIONS,9713,LB,MASS,EA,CNT,10
UOM_ITEM_CONVERSIONS,9714,LB,MASS,CFT,VOL3,3
UOM_ITEM_CONVERSIONS,9715,GL,VOL,LB,MASS,0.127991809
UOM_ITEM_CONVERSIONS,9715,GL,VOL,CFT,VOL3,0.13368
UOM_ITEM_CONVERSIONS,9716,LB,MASS,DRM,DRM,25
UOM_ITEM_CONVERSIONS,11200,EA,CNT,LB,MASS,4.571428
UOM_ITEM_CONVERSIONS,11201,LB,MASS,GL,VOL,2.25
UOM_ITEM_CONVERSIONS,11201,LB,MASS,CFT,VOL3,2.75
UOM_ITEM_CONVERSIONS,9713,LB,MASS,CFT,VOL3,3.5
UOM_ITEM_CONVERSIONS,11220,GL,VOL,LB,MASS,0.066666
UOM_ITEM_CONVERSIONS,11220,GL,VOL,CFT,VOL3,7.482166446
UOM_ITEM_CONVERSIONS,11221,LB,MASS,EA,CNT,5
UOM_ITEM_CONVERSIONS,11221,LB,MASS,CFT,VOL3,5
UOM_ITEM_CONVERSIONS,11222,EA,CNT,LB,MASS,4.571428571
UOM_ITEM_CONVERSIONS,9712,LB,MASS,EA,CNT,0.4
UOM_ITEM_CONVERSIONS,11201,LB,MASS,EA,CNT,0.32
UOM_ITEM_CONVERSIONS,9711,EA,CNT,LB,MASS,4.35
UOM_ITEM_CONVERSIONS,2220,CFT,VOL3,EA,CNT,0.0197
UOM_ITEM_CONVERSIONS,25308,LB,MASS,EA,CNT,5
UOM_ITEM_CONVERSIONS,25309,LB,MASS,EA,CNT,5
UOM_ITEM_CONVERSIONS,26324,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,26318,EA,CNT,PKG,PKG,250
UOM_ITEM_CONVERSIONS,26318,EA,CNT,LB,MASS,20
UOM_ITEM_CONVERSIONS,26319,EA,CNT,PKG,PKG,1000
UOM_ITEM_CONVERSIONS,26319,EA,CNT,LB,MASS,10
UOM_ITEM_CONVERSIONS,26320,EA,CNT,LB,MASS,50
UOM_ITEM_CONVERSIONS,26321,EA,CNT,LB,MASS,25
UOM_ITEM_CONVERSIONS,26322,EA,CNT,LB,MASS,20
UOM_ITEM_CONVERSIONS,26323,GAL,Fluid,LB,MASS,0.1
UOM_ITEM_CONVERSIONS,25308,LB,MASS,Box,Package,10
UOM_ITEM_CONVERSIONS,26316,GAL,Fluid,LB,MASS,1
UOM_ITEM_CONVERSIONS,12228,LB,MASS,EA,CNT,0.220462262
UOM_ITEM_CONVERSIONS,12229,LB,MASS,EA,CNT,0.220462
UOM_ITEM_CONVERSIONS,106623,EA,CNT,LB,MASS,4545.454545
UOM_ITEM_CONVERSIONS,106624,EA,CNT,LB,MASS,4545.454545
UOM_ITEM_CONVERSIONS,86607,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,106626,EA,CNT,LB,MASS,100
UOM_ITEM_CONVERSIONS,106627,EA,CNT,LB,MASS,100
UOM_ITEM_CONVERSIONS,106625,GL,VOL,LB,MASS,0.239808153
UOM_ITEM_CONVERSIONS,98612,LB,MASS,PKG,PKG,200
UOM_ITEM_CONVERSIONS,104614,LB,MASS,PKG,PKG,200
UOM_ITEM_CONVERSIONS,104615,LB,MASS,PKG,PKG,200
UOM_ITEM_CONVERSIONS,104616,LB,MASS,PKG,PKG,200
UOM_ITEM_CONVERSIONS,104617,LB,MASS,PKG,PKG,200
UOM_ITEM_CONVERSIONS,104618,LB,MASS,PKG,PKG,200
UOM_ITEM_CONVERSIONS,112634,EA,CNT,LB,MASS,10000
UOM_ITEM_CONVERSIONS,112635,EA,CNT,LB,MASS,100
UOM_ITEM_CONVERSIONS,112637,EA,CNT,LB,MASS,568.1818182
UOM_ITEM_CONVERSIONS,86608,EA,CNT,LB,MASS,100
UOM_ITEM_CONVERSIONS,77621,EA,CNT,LB,MASS,1.333333333
UOM_ITEM_CONVERSIONS,77622,EA,CNT,LB,MASS,1.333333333
UOM_ITEM_CONVERSIONS,116673,Ea,Quantity,Lbs,Weight,0.1
UOM_ITEM_CONVERSIONS,2224,LB,MASS,EA,CNT,1
UOM_ITEM_CONVERSIONS,118673,EA,CNT,LB,MASS,0.075757576
UOM_ITEM_CONVERSIONS,118674,EA,CNT,GL,VOL,9.1000091
UOM_ITEM_CONVERSIONS,118675,GL,VOL,LB,MASS,0.066666
UOM_ITEM_CONVERSIONS,118676,LB,MASS,EA,CNT,50
UOM_ITEM_CONVERSIONS,119673,LB,MASS,DRM,DRM,25
UOM_ITEM_CONVERSIONS,119674,GL,VOL,LB,MASS,0.066666
UOM_ITEM_CONVERSIONS,120673,GL,VOL,LB,MASS,0.066666
UOM_ITEM_CONVERSIONS,120674,EA,CNT,LB,MASS,10
UOM_ITEM_CONVERSIONS,118674,EA,CNT,LB,MASS,0.59999988
UOM_ITEM_CONVERSIONS,120675,EA,CNT,LB,MASS,100
UOM_ITEM_CONVERSIONS,120676,EA,CNT,LB,MASS,1000
UOM_ITEM_CONVERSIONS,120677,EA,CNT,LB,MASS,250
UOM_ITEM_CONVERSIONS,106622,LB,MASS,EA,CNT,1
UOM_ITEM_CONVERSIONS,10472,EA,CNT,LB,MASS,100
UOM_ITEM_CONVERSIONS,86610,EA,CNT,LB,MASS,100
UOM_ITEM_CONVERSIONS,115673,GL,VOL,LB,MASS,0.239808153
UOM_ITEM_CONVERSIONS,115675,EA,CNT,LB,MASS,100
UOM_ITEM_CONVERSIONS,115671,EA,CNT,LB,MASS,1587.301587
UOM_ITEM_CONVERSIONS,115672,EA,CNT,LB,MASS,1515.151515
UOM_ITEM_CONVERSIONS,3032,EA,CNT,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,2247,GL,VOL,GAL,Fluid,1
UOM_ITEM_CONVERSIONS,2247,GL,VOL,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,114661,EA,CNT,LB,MASS,100
UOM_ITEM_CONVERSIONS,114662,EA,CNT,PKG,PKG,100
UOM_ITEM_CONVERSIONS,114662,EA,CNT,LB,MASS,10
UOM_ITEM_CONVERSIONS,114664,EA,CNT,LB,MASS,568.1818182
UOM_ITEM_CONVERSIONS,86609,EA,CNT,LB,MASS,66.66666667
UOM_ITEM_CONVERSIONS,135719,LB,MASS,DRM,DRM,25
UOM_ITEM_CONVERSIONS,135720,GL,VOL,LB,MASS,0.11627907
UOM_ITEM_CONVERSIONS,135724,GL,VOL,LB,MASS,0.185185185
UOM_ITEM_CONVERSIONS,135725,EA,CNT,LB,MASS,5
UOM_ITEM_CONVERSIONS,135726,EA,CNT,LB,MASS,0.666666667
UOM_ITEM_CONVERSIONS,135727,EA,CNT,LB,MASS,12.5
UOM_ITEM_CONVERSIONS,135728,EA,CNT,LB,MASS,50
UOM_ITEM_CONVERSIONS,135729,EA,CNT,LB,MASS,50
UOM_ITEM_CONVERSIONS,135730,EA,CNT,LB,MASS,20
UOM_ITEM_CONVERSIONS,135731,EA,CNT,LB,MASS,5
UOM_ITEM_CONVERSIONS,135732,EA,CNT,LB,MASS,2.5
UOM_ITEM_CONVERSIONS,135733,EA,CNT,LB,MASS,25
UOM_ITEM_CONVERSIONS,135734,EA,CNT,LB,MASS,50
UOM_ITEM_CONVERSIONS,135735,EA,CNT,LB,MASS,20
UOM_ITEM_CONVERSIONS,135736,EA,CNT,LB,MASS,25
UOM_ITEM_CONVERSIONS,135737,EA,CNT,LB,MASS,50
UOM_ITEM_CONVERSIONS,135738,EA,CNT,LB,MASS,2
UOM_ITEM_CONVERSIONS,134701,LB,MASS,GL,VOL,8.34
UOM_ITEM_CONVERSIONS,136718,GL,VOL,LB,MASS,0.095238095
UOM_ITEM_CONVERSIONS,9469,EA,CNT,LB,MASS,0.625
UOM_ITEM_CONVERSIONS,9469,EA,CNT,GL,VOL,4
UOM_ITEM_CONVERSIONS,134693,EA,CNT,GL,VOL,0.5
UOM_ITEM_CONVERSIONS,134693,EA,CNT,LB,MASS,0.081967213
UOM_ITEM_CONVERSIONS,134694,EA,CNT,GL,VOL,2
UOM_ITEM_CONVERSIONS,134694,EA,CNT,LB,MASS,0.212765957
UOM_ITEM_CONVERSIONS,134695,GL,VOL,LB,MASS,0.192307692
UOM_ITEM_CONVERSIONS,134696,EA,CNT,GL,VOL,16
UOM_ITEM_CONVERSIONS,134696,EA,CNT,LB,MASS,0.852878465
UOM_ITEM_CONVERSIONS,134697,EA,CNT,GL,VOL,0.8
UOM_ITEM_CONVERSIONS,134697,EA,CNT,LB,MASS,0.041666667
UOM_ITEM_CONVERSIONS,134698,GL,VOL,LB,MASS,0.117647059
UOM_ITEM_CONVERSIONS,134699,GL,VOL,LB,MASS,0.120481928
UOM_ITEM_CONVERSIONS,134700,LB,MASS,GL,VOL,10.5
UOM_ITEM_CONVERSIONS,9470,LB,MASS,GL,VOL,10.34
UOM_ITEM_CONVERSIONS,9471,GL,VOL,LB,MASS,0.16286645
UOM_ITEM_CONVERSIONS,9472,LB,MASS,GL,VOL,7.75
UOM_ITEM_CONVERSIONS,134702,GL,VOL,LB,MASS,0.089525515
UOM_ITEM_CONVERSIONS,134703,LB,MASS,GL,VOL,9.5
UOM_ITEM_CONVERSIONS,134704,LB,MASS,GL,VOL,7.85
UOM_ITEM_CONVERSIONS,134705,GL,VOL,LB,MASS,0.125
UOM_ITEM_CONVERSIONS,134706,GL,VOL,LB,MASS,0.119904077
UOM_ITEM_CONVERSIONS,134707,GL,VOL,LB,MASS,0.096711799
UOM_ITEM_CONVERSIONS,134708,GL,VOL,LB,MASS,0.119904077
UOM_ITEM_CONVERSIONS,134709,GL,VOL,LB,MASS,0.106382979
UOM_ITEM_CONVERSIONS,134710,LB,MASS,GL,VOL,8.6
UOM_ITEM_CONVERSIONS,134711,GL,VOL,LB,MASS,0.126103405
UOM_ITEM_CONVERSIONS,134712,GL,VOL,LB,MASS,0.120481928
UOM_ITEM_CONVERSIONS,164751,LB,MASS,EA,CNT,0.220462262
UOM_ITEM_CONVERSIONS,2261,EA,CNT,GL,VOL,1
UOM_ITEM_CONVERSIONS,98612,LB,MASS,GL,VOL,10
UOM_ITEM_CONVERSIONS,159733,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,159734,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,159735,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,159736,EA,CNT,LB,MASS,1
UOM_ITEM_CONVERSIONS,170755,GL,VOL,LB,MASS,0.12
UOM_ITEM_CONVERSIONS,170756,GL,VOL,LB,MASS,0.13
UOM_ITEM_CONVERSIONS,170757,GL,VOL,LB,MASS,0.12
UOM_ITEM_CONVERSIONS,170758,GL,VOL,LB,MASS,0.13
UOM_ITEM_CONVERSIONS,170759,GL,VOL,LB,MASS,0.125
UOM_ITEM_CONVERSIONS,170760,GL,VOL,LB,MASS,0.11
UOM_ITEM_CONVERSIONS,170761,GL,VOL,LB,MASS,0.125
UOM_ITEM_CONVERSIONS,170762,GL,VOL,LB,MASS,0.125
UOM_ITEM_CONVERSIONS,170763,GL,VOL,LB,MASS,0.125
UOM_ITEM_CONVERSIONS,184792,l,MVOLUME,Kg,MMASS,1.61
