"PO_ID","LINE_ID","LINE_TYPE","ITEM_ID","CATEGORY_ID","LINE_DESCRIPTION","CANCEL_FLAG","UOM","AMOUNT","QTY","CONTRACT_ID","CONTRACT_LINE_ID","CONTRACT_PRICE_BREAK","SUPPLIER_ITEM_NUMBER"
92277,148364,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",500,50,,,,""
92277,148365,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",250,10,,,,""
92277,148366,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",200,20,,,,""
92277,148367,"Goods",2376,1,"Envoy Upgrade Software","N","Each",250,50,,,,""
92277,148368,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",500,50,,,,""
93476,150210,"Fixed Price Services",,14833,"New Store Construction: Redwood City Store 419","N","Currency",680000,1,,,,""
93563,150304,"Goods",73,36,"Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset)","N","Each",21070,43,,,,""
93624,150367,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
93665,150462,"Goods",75,36,"Paper - requires 2-way match office supply item","N","Each",12600,252,,,,""
93010,149405,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",93600,3.6,,,,""
94223,151384,"Goods",5552,1353,"Public Relations Services","N","HRS",515200,1472,,,,""
94823,152339,"Goods",73,36,"Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset)","N","Each",23520,48,,,,""
94677,152114,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",520000,20,,,,""
95096,152705,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",101400,3.9,,,,""
94325,151615,"Goods",5728,1354,"Weekly Warehousing","N","Week",400000,16,,,,""
94326,151616,"Goods",71,21,"Desk - Capitalizable, taxable item","N","Each",92500,37,,,,""
94327,151617,"Goods",5732,21,"File Cabinets -  5 Drawer Lateral (Capitalizable)","N","Each",39000,26,,,,""
93880,150731,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
94678,152115,"Goods",,1,"Software","N","EA",871,1,,,,""
94694,152127,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
93901,150772,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",280800,10.8,,,,""
94336,151631,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
94083,151084,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",104000,4,,,,""
95046,152655,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
94103,151264,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
95875,153836,"Goods",75,36,"Paper - requires 2-way match office supply item","N","Each",13600,272,,,,""
95459,153236,"Goods",,36,"2900 Series High Back Chair, Black Leather with Mahogany Finish","N","Each",831,1,,,,"372989"
95459,153237,"Goods",,36,"2900 Series High Back Chair, Navy Leather with Mahogany Finish","N","Each",831,1,,,,"373003"
95460,153238,"Goods",,36,"2021 Steel Executive Leather Chair with Steel Loop Arms, Black Powder Coated Finish, Steel Surface and Frame, Leather Upholstery, 44-1/2 inches x 26-1/4 inches x 27-1/2 inches","N","Each",249.95,1,,,,"E42021SR11T"
95461,153239,"Goods",,36,"4.0GB 667MHz Non-ECC DDR2 SDRAM (2*2GB DIMM) Memory","N","Each",264,1,,,,"6012055,9474122"
95461,153240,"Goods",,36,"Delivery","N","Each",25,1,,,,"6012055,1234"
95461,153241,"Goods",,36,"New !!!  Dell  OptiPlex  745 Small Factor","N","Each",797,1,,,,"6012055,71075"
95462,153242,"Goods",,36,"BIC Wide Body Soft Feel Retractable Ballpoint Pens","N","Each",72,100,,,,"328532"
95463,153243,"Goods",,36,"MYOB PLUS / ACCOUNT EDGE ADDT LU LICENSE MAC/95+","N","Each",129.14,1,,,,"155229"
95465,153245,"Fixed Price Services",,2658,"Visa, Business Travel Requirement","N","Currency",800,1,,,,""
95521,153298,"Goods",,1,"Software","N","EA",873,1,,,,""
95826,153715,"Goods",8269,1,"DVD Burner 8X","N","Each",20550,50,,,,""
96206,154331,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
95359,153096,"Goods",5728,1354,"Weekly Warehousing","N","Week",390000,15.6,,,,""
95808,153697,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",507000,19.5,,,,""
96310,154581,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
96423,154719,"Goods",,1,"Toshiba Laptop","N","Each",2587,1,,,,""
96068,154072,"Goods",5734,30,"18"" LCD Flat Panel Monitor","N","Each",52195,55,,,,""
96299,154500,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",101400,3.9,,,,""
96526,154919,"Goods",,1,"Company Car","N","Each",35588,1,,,,""
96567,154992,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",252.5,10,,,,""
96567,154993,"Goods",2376,1,"Envoy Upgrade Software","N","Each",262.5,50,,,,""
96567,154994,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",512.5,50,,,,""
96567,154995,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",205,20,,,,""
96567,154996,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",252.5,10,,,,""
96567,154997,"Goods",2376,1,"Envoy Upgrade Software","N","Each",262.5,50,,,,""
96567,154998,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",512.5,50,,,,""
96567,154999,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",205,20,,,,""
95725,153614,"Fixed Price Services",,3117,"Conference Room Remodel","N","Currency",10000,1,,,,""
96933,155625,"Goods",5560,1353,"Legal Services","N","HRS",94500,210,,,,""
96729,155321,"Goods",73,36,"Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset)","N","Each",23030,47,,,,""
97024,155884,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",111800,4.3,,,,""
96694,155283,"Goods",,1,"Software","N","EA",895,1,,,,""
96695,155284,"Goods",,1,"Toshiba Laptop","N","Each",3061,1,,,,""
98075,157393,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
98216,157594,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",252.5,10,,,,""
98216,157595,"Goods",2376,1,"Envoy Upgrade Software","N","Each",262.5,50,,,,""
98216,157596,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",512.5,50,,,,""
98216,157597,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",205,20,,,,""
98216,157598,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",252.5,10,,,,""
98216,157599,"Goods",2376,1,"Envoy Upgrade Software","N","Each",262.5,50,,,,""
98216,157600,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",512.5,50,,,,""
98216,157601,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",205,20,,,,""
97294,156310,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
97341,156358,"Goods",,1,"Software","N","EA",839,1,,,,""
98097,157415,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",335400,12.9,,,,""
97810,157080,"Goods",75,36,"Paper - requires 2-way match office supply item","N","Each",15200,304,,,,""
100735,160514,"Goods",12019,91,"Digital Camera, Standard","N","Each",300000,1200,,,,""
100735,160515,"Goods",12023,91,"Digital Camera, Professional","N","Each",498720,1200,,,,""
100741,160469,"Goods",12017,91,"Gamepak1","N","Each",2940,1400,,,,""
100741,160470,"Goods",12025,91,"Television Digital Capable","N","Each",713230,2300,,,,""
100741,160471,"Goods",12027,91,"Television HD Ready","N","Each",790680,800,,,,""
99322,158810,"Goods",,1,"Dell Monitor","N","Each",472,1,,,,""
100829,160709,"Goods",5728,1354,"Weekly Warehousing","N","Week",350000,14,,,,""
100831,160711,"Goods",5552,1353,"Public Relations Services","N","HRS",445200,1272,,,,""
100749,160489,"Goods",12029,91,"Television 96""","N","Each",1669560,800,,,,""
100749,160490,"Goods",12031,91,"Television 102""","N","Each",2550000,800,,,,""
100755,160542,"Goods",12019,91,"Digital Camera, Standard","N","Each",300000,1200,,,,""
100755,160543,"Goods",12023,91,"Digital Camera, Professional","N","Each",498720,1200,,,,""
100487,160227,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
100764,160567,"Goods",12017,91,"Gamepak1","N","Each",2940,1400,,,,""
100764,160568,"Goods",12025,91,"Television Digital Capable","N","Each",713230,2300,,,,""
100764,160569,"Goods",12027,91,"Television HD Ready","N","Each",790680,800,,,,""
100771,160586,"Goods",12021,91,"Digital Camera, Deluxe","N","Each",396165,1100,,,,""
98817,158265,"Goods",,1,"Toshiba Laptop","N","Each",2461,1,,,,""
100779,160609,"Goods",12017,91,"Gamepak1","N","Each",2940,1400,,,,""
100779,160610,"Goods",12025,91,"Television Digital Capable","N","Each",713230,2300,,,,""
100779,160611,"Goods",12027,91,"Television HD Ready","N","Each",790680,800,,,,""
100786,160628,"Goods",12021,91,"Digital Camera, Deluxe","N","Each",396165,1100,,,,""
100791,160642,"Goods",12021,91,"Digital Camera, Deluxe","N","Each",396165,1100,,,,""
