"INVOICE_ID","CREATION_DATE","SUPPLIER_ID","SUPPLIER_SITE_ID","INVOICE_NUMBER","CANCEL_FLAG","DESCRIPTION","DOCUMENT_TYPE","PAY_TERMS","PAYMENT_TERMS_ID","PAYMENT_DUE_DATE","INVOICE_DATE","CURRENCY_CODE","EXCHANGE_RATE_DATE","EXCHANGE_RATE","CURRENCY_RATE_TYPE","INVOICE_CURRENCY_AMOUNT","PAY_CURRENCY_CODE","INVOICE_AMOUNT","CREATION_METHOD","INVOICE_TYPE","INVOICE_SUB_TYPE","APPROVAL_REQUIRED","PAYMENT_TYPE","PAY_GROUP","INVOICE_RECEIVED_DATE"
153964,"12-JUL-2013",21,41,"ERS-23338-117382","N","Receipt Invoice automatically created on 12-JUL-06","","Immediate",10001,"12-JUL-2013","12-JUL-2013","USD",,,"",196293.3,"USD",196293.3,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153946,"12-JUL-2013",21,41,"ERS-11807-117364","N","Receipt Invoice automatically created on 12-JUL-06","","Immediate",10001,"12-JUL-2013","12-JUL-2013","USD",,,"",71721.54,"USD",71721.54,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153818,"12-JUL-2013",1178,2854,"21-JUN-2006","N","","","2/10 NET 30",10014,"21-JUN-2013","21-JUN-2013","USD",,,"",2190,"USD",2190,"MANUAL INVOICE ENTRY","STANDARD","MANUAL INVOICE ENTRY","N","CHECK","STANDARD",""
153934,"12-JUL-2013",21,41,"ERS-11795-117352","N","Receipt Invoice automatically created on 12-JUL-06","","Immediate",10001,"12-JUL-2013","12-JUL-2013","USD",,,"",186798.15,"USD",186798.15,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
154204,"17-JUL-2013",557,1233,"ERS-8039-117620","N","Receipt Invoice automatically created on 17-JUL-06","","45 Net (terms date + 45)",10003,"17-JUL-2013","17-JUL-2013","USD",,,"",2982,"USD",2982,"ERS","STANDARD","ERS","N","EFT","STANDARD","17-JUL-2013 00:00"
154416,"19-JUL-2013",21,41,"ERS-23419-117852","N","Receipt Invoice automatically created on 19-JUL-06","","Immediate",10001,"19-JUL-2013","19-JUL-2013","USD",,,"",118768.3,"USD",118768.3,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154430,"19-JUL-2013",147,259,"ERS-11850-117866","N","Receipt Invoice automatically created on 19-JUL-06","","45 Net (terms date + 45)",10003,"19-JUL-2013","19-JUL-2013","USD",,,"",1410.2,"USD",1410.2,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154342,"19-JUL-2013",22,42,"ERS-11822-117778","N","Receipt Invoice automatically created on 19-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"19-JUL-2013","19-JUL-2013","USD",,,"",7244.43,"USD",7244.43,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154386,"19-JUL-2013",5,6,"ERS-23389-117822","N","Receipt Invoice automatically created on 19-JUL-06","","2/10 NET 30",10014,"19-JUL-2013","19-JUL-2013","USD",,,"",350.55,"USD",350.55,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154348,"19-JUL-2013",5,6,"ERS-11828-117784","N","Receipt Invoice automatically created on 19-JUL-06","","2/10 NET 30",10014,"19-JUL-2013","19-JUL-2013","USD",,,"",8691.96,"USD",8691.96,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154460,"19-JUL-2013",11,15,"ERS-11873-117896","N","Receipt Invoice automatically created on 19-JUL-06","","2/10 Net 45",10007,"19-JUL-2013","19-JUL-2013","USD",,,"",2909.2,"USD",2909.2,"ERS","STANDARD","ERS","N","EFT","EDI","19-JUL-2013 00:00"
154415,"19-JUL-2013",5,6,"ERS-23418-117851","N","Receipt Invoice automatically created on 19-JUL-06","","2/10 NET 30",10014,"19-JUL-2013","19-JUL-2013","USD",,,"",242.65,"USD",242.65,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154451,"19-JUL-2013",1718,4081,"ERS-19-JUL-06-117887","N","Receipt Invoice automatically created on 19-JUL-06","","45 Net (terms date + 45)",10003,"19-JUL-2013","19-JUL-2013","USD",,,"",185738.55,"USD",185738.55,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154452,"19-JUL-2013",1718,4081,"ERS-19-JUL-06-117888","N","Receipt Invoice automatically created on 19-JUL-06","","45 Net (terms date + 45)",10003,"19-JUL-2013","19-JUL-2013","USD",,,"",299625,"USD",299625,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154324,"19-JUL-2013",11,15,"ERS-23351-117760","N","Receipt Invoice automatically created on 19-JUL-06","","2/10 Net 45",10007,"19-JUL-2013","19-JUL-2013","USD",,,"",219.45,"USD",219.45,"ERS","STANDARD","ERS","N","EFT","EDI","19-JUL-2013 00:00"
154332,"19-JUL-2013",5,6,"ERS-23359-117768","N","Receipt Invoice automatically created on 19-JUL-06","","2/10 NET 30",10014,"19-JUL-2013","19-JUL-2013","USD",,,"",425,"USD",425,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154376,"19-JUL-2013",22,42,"ERS-23379-117812","N","Receipt Invoice automatically created on 19-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"19-JUL-2013","19-JUL-2013","USD",,,"",2013.4,"USD",2013.4,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154336,"19-JUL-2013",147,259,"ERS-11816-117772","N","Receipt Invoice automatically created on 19-JUL-06","","45 Net (terms date + 45)",10003,"19-JUL-2013","19-JUL-2013","USD",,,"",2666.56,"USD",2666.56,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154378,"19-JUL-2013",22,42,"ERS-23381-117814","N","Receipt Invoice automatically created on 19-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"19-JUL-2013","19-JUL-2013","USD",,,"",213.7,"USD",213.7,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154380,"19-JUL-2013",22,42,"ERS-23383-117816","N","Receipt Invoice automatically created on 19-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"19-JUL-2013","19-JUL-2013","USD",,,"",299.1,"USD",299.1,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154381,"19-JUL-2013",22,42,"ERS-23384-117817","N","Receipt Invoice automatically created on 19-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"19-JUL-2013","19-JUL-2013","USD",,,"",6131.55,"USD",6131.55,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
155108,"27-JUL-2013",22,42,"ERS-11947-118554","N","Receipt Invoice automatically created on 27-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"27-JUL-2013","27-JUL-2013","USD",,,"",4422.9,"USD",4422.9,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
155114,"27-JUL-2013",22,42,"ERS-11953-118560","N","Receipt Invoice automatically created on 27-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"27-JUL-2013","27-JUL-2013","USD",,,"",22358.08,"USD",22358.08,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
155140,"27-JUL-2013",1718,4081,"ERS-27-JUL-06-118586","N","Receipt Invoice automatically created on 27-JUL-06","","45 Net (terms date + 45)",10003,"27-JUL-2013","27-JUL-2013","USD",,,"",315562.5,"USD",315562.5,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
155152,"27-JUL-2013",21,41,"ERS-23481-118599","N","Receipt Invoice automatically created on 27-JUL-06","","Immediate",10001,"27-JUL-2013","27-JUL-2013","USD",,,"",2780.5,"USD",2780.5,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
155155,"27-JUL-2013",11,15,"ERS-23482-118601","N","Receipt Invoice automatically created on 27-JUL-06","","2/10 Net 45",10007,"27-JUL-2013","27-JUL-2013","USD",,,"",348.6,"USD",348.6,"ERS","STANDARD","ERS","N","EFT","EDI","27-JUL-2013 00:00"
155151,"27-JUL-2013",11,15,"ERS-23480-118597","N","Receipt Invoice automatically created on 27-JUL-06","","2/10 Net 45",10007,"27-JUL-2013","27-JUL-2013","USD",,,"",87.15,"USD",87.15,"ERS","STANDARD","ERS","N","EFT","EDI","27-JUL-2013 00:00"
155000,"27-JUL-2013",147,259,"ERS-23439-118446","N","Receipt Invoice automatically created on 27-JUL-06","","45 Net (terms date + 45)",10003,"27-JUL-2013","27-JUL-2013","USD",,,"",91052.5,"USD",91052.5,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
155009,"27-JUL-2013",21,41,"ERS-11881-118455","N","Receipt Invoice automatically created on 27-JUL-06","","Immediate",10001,"27-JUL-2013","27-JUL-2013","USD",,,"",111799.12,"USD",111799.12,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
155042,"27-JUL-2013",5,6,"ERS-11914-118488","N","Receipt Invoice automatically created on 27-JUL-06","","2/10 NET 30",10014,"27-JUL-2013","27-JUL-2013","USD",,,"",418.95,"USD",418.95,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
155048,"27-JUL-2013",21,41,"ERS-23447-118494","N","Receipt Invoice automatically created on 27-JUL-06","","Immediate",10001,"27-JUL-2013","27-JUL-2013","USD",,,"",1072,"USD",1072,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
155117,"27-JUL-2013",22,42,"ERS-11956-118563","N","Receipt Invoice automatically created on 27-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"27-JUL-2013","27-JUL-2013","USD",,,"",1346.31,"USD",1346.31,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
155120,"27-JUL-2013",22,42,"ERS-11959-118566","N","Receipt Invoice automatically created on 27-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"27-JUL-2013","27-JUL-2013","USD",,,"",3230.28,"USD",3230.28,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
155040,"27-JUL-2013",5,6,"ERS-11912-118486","N","Receipt Invoice automatically created on 27-JUL-06","","2/10 NET 30",10014,"27-JUL-2013","27-JUL-2013","USD",,,"",33537.12,"USD",33537.12,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
154855,"25-JUL-2013",6,7,"CMATT0706","N","","","30 Net (terms date + 30)",10002,"25-JUL-2013","25-JUL-2013","USD",,,"",-5191,"USD",-5191,"EXTERNAL","CREDIT","EXTERNAL","N","CHECK","STANDARD",""
155095,"27-JUL-2013",11,15,"ERS-11934-118541","N","Receipt Invoice automatically created on 27-JUL-06","","2/10 Net 45",10007,"27-JUL-2013","27-JUL-2013","USD",,,"",31880.31,"USD",31880.31,"ERS","STANDARD","ERS","N","EFT","EDI","27-JUL-2013 00:00"
155104,"27-JUL-2013",147,259,"ERS-11943-118550","N","Receipt Invoice automatically created on 27-JUL-06","","45 Net (terms date + 45)",10003,"27-JUL-2013","27-JUL-2013","USD",,,"",1615.32,"USD",1615.32,"ERS","STANDARD","ERS","N","CHECK","STANDARD","27-JUL-2013 00:00"
155764,"07-AUG-2013",209,330,"BMI080506","N","","","Immediate",10001,"05-AUG-2013","05-AUG-2013","USD",,,"",117840,"USD",117840,"EXTERNAL","STANDARD","EXTERNAL","N","CHECK","STANDARD",""
156159,"10-AUG-2013",5,6,"ERS-12021-119485","N","Receipt Invoice automatically created on 10-AUG-06","","2/10 NET 30",10014,"10-AUG-2013","10-AUG-2013","USD",,,"",158.97,"USD",158.97,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156054,"10-AUG-2013",557,1233,"ERS-8052-119380","N","Receipt Invoice automatically created on 10-AUG-06","","45 Net (terms date + 45)",10003,"10-AUG-2013","10-AUG-2013","USD",,,"",390000,"USD",390000,"ERS","STANDARD","ERS","N","EFT","STANDARD","10-AUG-2013 00:00"
156163,"10-AUG-2013",21,41,"ERS-12025-119489","N","Receipt Invoice automatically created on 10-AUG-06","","Immediate",10001,"10-AUG-2013","10-AUG-2013","USD",,,"",151217.55,"USD",151217.55,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156167,"10-AUG-2013",147,259,"ERS-23531-119493","N","Receipt Invoice automatically created on 10-AUG-06","","45 Net (terms date + 45)",10003,"10-AUG-2013","10-AUG-2013","USD",,,"",288,"USD",288,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156077,"10-AUG-2013",147,259,"ERS-11982-119403","N","Receipt Invoice automatically created on 10-AUG-06","","45 Net (terms date + 45)",10003,"10-AUG-2013","10-AUG-2013","USD",,,"",39976.65,"USD",39976.65,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156095,"10-AUG-2013",5,6,"ERS-23505-119421","N","Receipt Invoice automatically created on 10-AUG-06","","2/10 NET 30",10014,"10-AUG-2013","10-AUG-2013","USD",,,"",436.05,"USD",436.05,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156103,"10-AUG-2013",1718,4081,"ERS-10-AUG-06-119429","N","Receipt Invoice automatically created on 10-AUG-06","","45 Net (terms date + 45)",10003,"10-AUG-2013","10-AUG-2013","USD",,,"",31875,"USD",31875,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156177,"10-AUG-2013",11,15,"ERS-23536-119503","N","Receipt Invoice automatically created on 10-AUG-06","","2/10 Net 45",10007,"10-AUG-2013","10-AUG-2013","USD",,,"",51950,"USD",51950,"ERS","STANDARD","ERS","N","EFT","EDI","10-AUG-2013 00:00"
156157,"10-AUG-2013",22,42,"ERS-12019-119483","N","Receipt Invoice automatically created on 10-AUG-06","","4/10, 3/20, 2/30 Net  60",10009,"10-AUG-2013","10-AUG-2013","USD",,,"",209.37,"USD",209.37,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156118,"10-AUG-2013",11,15,"ERS-11987-119444","N","Receipt Invoice automatically created on 10-AUG-06","","2/10 Net 45",10007,"10-AUG-2013","10-AUG-2013","USD",,,"",3572.58,"USD",3572.58,"ERS","STANDARD","ERS","N","EFT","EDI","10-AUG-2013 00:00"
156108,"10-AUG-2013",11,15,"ERS-23518-119434","N","Receipt Invoice automatically created on 10-AUG-06","","2/10 Net 45",10007,"10-AUG-2013","10-AUG-2013","USD",,,"",53.55,"USD",53.55,"ERS","STANDARD","ERS","N","EFT","EDI","10-AUG-2013 00:00"
156116,"10-AUG-2013",21,41,"ERS-11985-119442","N","Receipt Invoice automatically created on 10-AUG-06","","Immediate",10001,"10-AUG-2013","10-AUG-2013","USD",,,"",570.68,"USD",570.68,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156120,"10-AUG-2013",147,259,"ERS-11989-119446","N","Receipt Invoice automatically created on 10-AUG-06","","45 Net (terms date + 45)",10003,"10-AUG-2013","10-AUG-2013","USD",,,"",375.98,"USD",375.98,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156122,"10-AUG-2013",22,42,"ERS-11991-119448","N","Receipt Invoice automatically created on 10-AUG-06","","4/10, 3/20, 2/30 Net  60",10009,"10-AUG-2013","10-AUG-2013","USD",,,"",2012.74,"USD",2012.74,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156130,"10-AUG-2013",5,6,"ERS-11999-119456","N","Receipt Invoice automatically created on 10-AUG-06","","2/10 NET 30",10014,"10-AUG-2013","10-AUG-2013","USD",,,"",846.12,"USD",846.12,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156154,"10-AUG-2013",22,42,"ERS-12016-119480","N","Receipt Invoice automatically created on 10-AUG-06","","4/10, 3/20, 2/30 Net  60",10009,"10-AUG-2013","10-AUG-2013","USD",,,"",505.04,"USD",505.04,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
154341,"19-JUL-2013",22,42,"ERS-11821-117777","N","Receipt Invoice automatically created on 19-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"19-JUL-2013","19-JUL-2013","USD",,,"",3110.64,"USD",3110.64,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
154400,"19-JUL-2013",21,41,"ERS-23403-117836","N","Receipt Invoice automatically created on 19-JUL-06","","Immediate",10001,"19-JUL-2013","19-JUL-2013","USD",,,"",4117.74,"USD",4117.74,"ERS","STANDARD","ERS","N","CHECK","STANDARD","19-JUL-2013 00:00"
156158,"10-AUG-2013",5,6,"ERS-12020-119484","N","Receipt Invoice automatically created on 10-AUG-06","","2/10 NET 30",10014,"10-AUG-2013","10-AUG-2013","USD",,,"",101.48,"USD",101.48,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156119,"10-AUG-2013",147,259,"ERS-11988-119445","N","Receipt Invoice automatically created on 10-AUG-06","","45 Net (terms date + 45)",10003,"10-AUG-2013","10-AUG-2013","USD",,,"",904.32,"USD",904.32,"ERS","STANDARD","ERS","N","CHECK","STANDARD","10-AUG-2013 00:00"
156495,"25-AUG-2013",22,42,"ERS-23540-119754","N","Receipt Invoice automatically created on 25-AUG-06","","4/10, 3/20, 2/30 Net  60",10009,"24-AUG-2013","24-AUG-2013","USD",24/AUG/06,1,"",3846,"USD",3846,"ERS","STANDARD","ERS","N","","STANDARD","24-AUG-2013 00:00"
156214,"18-AUG-2013",22,1971,"CSI081206","N","","","Immediate",10001,"18-AUG-2013","18-AUG-2013","USD",,,"",3710,"USD",3710,"EXTERNAL","STANDARD","EXTERNAL","N","","STANDARD",""
156554,"28-AUG-2013",21,41,"ERS-12042-119827","N","Receipt Invoice automatically created on 28-AUG-06","","Immediate",10001,"28-AUG-2013","28-AUG-2013","USD",28/AUG/06,1,"",1308.15,"USD",1308.15,"ERS","STANDARD","ERS","N","","STANDARD","28-AUG-2013 00:00"
156738,"30-AUG-2013",537,1193,"ERS-8055-119949","N","Receipt Invoice automatically created on 30-AUG-06","","45 Net (terms date + 45)",10003,"29-AUG-2013","29-AUG-2013","USD",29/AUG/06,1,"",643,"USD",643,"ERS","STANDARD","ERS","N","","STANDARD","29-AUG-2013 00:00"
157441,"11-SEP-2013",537,1193,"ERS-8058-120520","N","Receipt Invoice automatically created on 11-SEP-06","","45 Net (terms date + 45)",10003,"11-SEP-2013","11-SEP-2013","USD",11/SEP/06,1,"",1286,"USD",1286,"ERS","STANDARD","ERS","N","","STANDARD","11-SEP-2013 00:00"
157882,"15-SEP-2013",537,1193,"ERS 5376","N","","","45 Net (terms date + 45)",10003,"15-SEP-2013","15-SEP-2013","USD",,,"",643,"USD",643,"MANUAL INVOICE ENTRY","STANDARD","MANUAL INVOICE ENTRY","N","","STANDARD",""
157764,"14-SEP-2013",145,255,"ERS-8063-120801","N","Receipt Invoice automatically created on 14-SEP-06","","45 Net (terms date + 45)",10003,"14-SEP-2013","14-SEP-2013","USD",14/SEP/06,1,"",4000,"USD",4000,"ERS","STANDARD","ERS","N","","STANDARD","14-SEP-2013 00:00"
158186,"20-SEP-2013",145,255,"5410-adv","N","Advance for PO 5410","","45 Net (terms date + 45)",10003,"20-SEP-2013","20-SEP-2013","USD",,,"",1000,"USD",1000,"ISP","PREPAYMENT","ISP","N","","","20-SEP-2013 14:41"
157743,"14-SEP-2013",147,259,"ERS-23547-120781","N","Receipt Invoice automatically created on 31-AUG-06","","45 Net (terms date + 45)",10003,"31-AUG-2013","31-AUG-2013","USD",31/AUG/06,1,"",822.5,"USD",822.5,"ERS","STANDARD","ERS","N","","STANDARD","31-AUG-2013 00:00"
157744,"14-SEP-2013",11,15,"ERS-23548-120782","N","Receipt Invoice automatically created on 31-AUG-06","","2/10 Net 45",10007,"31-AUG-2013","31-AUG-2013","USD",31/AUG/06,1,"",375,"USD",375,"ERS","STANDARD","ERS","N","","EDI","31-AUG-2013 00:00"
157955,"18-SEP-2013",5,2034,"ERS-8068-120943","N","Receipt Invoice automatically created on 31-AUG-06","","15 Net (terms date + 15)",10013,"31-AUG-2013","31-AUG-2013","USD",31/AUG/06,1,"",23030,"USD",23030,"ERS","STANDARD","ERS","N","","STANDARD","31-AUG-2013 00:00"
157956,"18-SEP-2013",537,1193,"ERS-8069-120944","N","Receipt Invoice automatically created on 31-AUG-06","","45 Net (terms date + 45)",10003,"31-AUG-2013","31-AUG-2013","USD",15/SEP/06,1,"",643,"USD",643,"ERS","STANDARD","ERS","N","","STANDARD","31-AUG-2013 00:00"
159465,"30-SEP-2013",5,6,"ERS-23555-121928","N","Receipt Invoice automatically created on 29-SEP-06","","2/10 NET 30",10014,"29-SEP-2013","29-SEP-2013","USD",29/SEP/06,1,"",47874.58,"USD",47874.58,"ERS","STANDARD","ERS","N","","STANDARD","29-SEP-2013 00:00"
159645,"30-SEP-2013",415,1087,"ERS-8079-121948","N","Receipt Invoice automatically created on 30-SEP-06","","45 Net (terms date + 45)",10003,"30-SEP-2013","30-SEP-2013","USD",30/SEP/06,1,"",112500,"USD",112500,"ERS","STANDARD","ERS","N","","STANDARD","30-SEP-2013 00:00"
162100,"02-NOV-2013",5,2034,"ERS-8111-123346","N","Receipt Invoice automatically created on 19-SEP-06","","15 Net (terms date + 15)",10013,"19-SEP-2013","19-SEP-2013","USD",19/SEP/06,1,"",26950,"USD",26950,"ERS","STANDARD","ERS","N","","STANDARD","19-SEP-2013 00:00"
163016,"10-NOV-2013",557,1233,"ERS-8118-123851","N","Receipt Invoice automatically created on 10-NOV-06","","45 Net (terms date + 45)",10003,"10-NOV-2013","10-NOV-2013","USD",10/NOV/06,1,"",390000,"USD",390000,"ERS","STANDARD","ERS","N","","STANDARD","10-NOV-2013 00:00"
152924,"04-JUL-2013",147,2033,"ERS-8030-116584","N","Receipt Invoice automatically created on 04-JUL-06","","45 Net (terms date + 45)",10003,"04-JUL-2013","04-JUL-2013","USD",,,"",35856,"USD",35856,"ERS","STANDARD","ERS","N","CHECK","SIZZLE","04-JUL-2013 00:00"
