RECORD_TYPE:INVOICES,INVOICE_ID,CREATION_DATE,SUPPLIER_ID,SUPPLIER_SITE_ID,INVOICE_NUMBER,CANCEL_FLAG,DESCRIPTION,DOCUMENT_TYPE,PAY_TERMS,PAYMENT_TERMS_ID,PAYMENT_DUE_DATE,INVOICE_DATE,CURRENCY_CODE,EXCHANGE_RATE_DATE,EXCHANGE_RATE,CURRENCY_RATE_TYPE,INVOICE_CURRENCY_AMOUNT,PAY_CURRENCY_CODE,INVOICE_AMOUNT,CREATION_METHOD,INVOICE_TYPE,INVOICE_SUB_TYPE,APPROVAL_REQUIRED,PAYMENT_TYPE,PAY_GROUP,INVOICE_RECEIVED_DATE
INVOICES,156130,10-Aug-13,5,6,ERS-11999-119456,N,Receipt Invoice automatically created on 10-AUG-06,,2/10 NET 30,10014,10-Aug-13,10-Aug-13,USD,,,,846.12,USD,846.12,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156154,10-Aug-13,22,42,ERS-12016-119480,N,Receipt Invoice automatically created on 10-AUG-06,,"4/10, 3/20, 2/30 Net  60",10009,10-Aug-13,10-Aug-13,USD,,,,505.04,USD,505.04,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,154341,19-Jul-13,22,42,ERS-11821-117777,N,Receipt Invoice automatically created on 19-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,19-Jul-13,19-Jul-13,USD,,,,3110.64,USD,3110.64,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154400,19-Jul-13,21,41,ERS-23403-117836,N,Receipt Invoice automatically created on 19-JUL-06,,Immediate,10001,19-Jul-13,19-Jul-13,USD,,,,4117.74,USD,4117.74,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,156158,10-Aug-13,5,6,ERS-12020-119484,N,Receipt Invoice automatically created on 10-AUG-06,,2/10 NET 30,10014,10-Aug-13,10-Aug-13,USD,,,,101.48,USD,101.48,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156119,10-Aug-13,147,259,ERS-11988-119445,N,Receipt Invoice automatically created on 10-AUG-06,,45 Net (terms date + 45),10003,10-Aug-13,10-Aug-13,USD,,,,904.32,USD,904.32,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156495,25-Aug-13,22,42,ERS-23540-119754,N,Receipt Invoice automatically created on 25-AUG-06,,"4/10, 3/20, 2/30 Net  60",10009,24-Aug-13,24-Aug-13,USD,24-Aug-06,1,,3846,USD,3846,ERS,STANDARD,ERS,N,,STANDARD,24/08/13 0:00
INVOICES,156214,18-Aug-13,22,1971,CSI081206,N,,,Immediate,10001,18-Aug-13,18-Aug-13,USD,,,,3710,USD,3710,EXTERNAL,STANDARD,EXTERNAL,N,,STANDARD,
INVOICES,156554,28-Aug-13,21,41,ERS-12042-119827,N,Receipt Invoice automatically created on 28-AUG-06,,Immediate,10001,28-Aug-13,28-Aug-13,USD,28-Aug-06,1,,1308.15,USD,1308.15,ERS,STANDARD,ERS,N,,STANDARD,28/08/13 0:00
INVOICES,156738,30-Aug-13,537,1193,ERS-8055-119949,N,Receipt Invoice automatically created on 30-AUG-06,,45 Net (terms date + 45),10003,29-Aug-13,29-Aug-13,USD,29-Aug-06,1,,643,USD,643,ERS,STANDARD,ERS,N,,STANDARD,29/08/13 0:00
INVOICES,157441,11-Sep-13,537,1193,ERS-8058-120520,N,Receipt Invoice automatically created on 11-SEP-06,,45 Net (terms date + 45),10003,11-Sep-13,11-Sep-13,USD,11-Sep-06,1,,1286,USD,1286,ERS,STANDARD,ERS,N,,STANDARD,11/09/13 0:00
INVOICES,157882,15-Sep-13,537,1193,ERS 5376,N,,,45 Net (terms date + 45),10003,15-Sep-13,15-Sep-13,USD,,,,643,USD,643,MANUAL INVOICE ENTRY,STANDARD,MANUAL INVOICE ENTRY,N,,STANDARD,
INVOICES,157764,14-Sep-13,145,255,ERS-8063-120801,N,Receipt Invoice automatically created on 14-SEP-06,,45 Net (terms date + 45),10003,14-Sep-13,14-Sep-13,USD,14-Sep-06,1,,4000,USD,4000,ERS,STANDARD,ERS,N,,STANDARD,14/09/13 0:00
INVOICES,158186,20-Sep-13,145,255,5410-adv,N,Advance for PO 5410,,45 Net (terms date + 45),10003,20-Sep-13,20-Sep-13,USD,,,,1000,USD,1000,ISP,PREPAYMENT,ISP,N,,,20/09/13 14:41
INVOICES,157743,14-Sep-13,147,259,ERS-23547-120781,N,Receipt Invoice automatically created on 31-AUG-06,,45 Net (terms date + 45),10003,31-Aug-13,31-Aug-13,USD,31-Aug-06,1,,822.5,USD,822.5,ERS,STANDARD,ERS,N,,STANDARD,31/08/13 0:00
INVOICES,157744,14-Sep-13,11,15,ERS-23548-120782,N,Receipt Invoice automatically created on 31-AUG-06,,2/10 Net 45,10007,31-Aug-13,31-Aug-13,USD,31-Aug-06,1,,375,USD,375,ERS,STANDARD,ERS,N,,EDI,31/08/13 0:00
INVOICES,157955,18-Sep-13,5,2034,ERS-8068-120943,N,Receipt Invoice automatically created on 31-AUG-06,,15 Net (terms date + 15),10013,31-Aug-13,31-Aug-13,USD,31-Aug-06,1,,23030,USD,23030,ERS,STANDARD,ERS,N,,STANDARD,31/08/13 0:00
INVOICES,157956,18-Sep-13,537,1193,ERS-8069-120944,N,Receipt Invoice automatically created on 31-AUG-06,,45 Net (terms date + 45),10003,31-Aug-13,31-Aug-13,USD,15-Sep-06,1,,643,USD,643,ERS,STANDARD,ERS,N,,STANDARD,31/08/13 0:00
INVOICES,159465,30-Sep-13,5,6,ERS-23555-121928,N,Receipt Invoice automatically created on 29-SEP-06,,2/10 NET 30,10014,29-Sep-13,29-Sep-13,USD,29-Sep-06,1,,47874.58,USD,47874.58,ERS,STANDARD,ERS,N,,STANDARD,29/09/13 0:00
INVOICES,159645,30-Sep-13,415,1087,ERS-8079-121948,N,Receipt Invoice automatically created on 30-SEP-06,,45 Net (terms date + 45),10003,30-Sep-13,30-Sep-13,USD,30-Sep-06,1,,112500,USD,112500,ERS,STANDARD,ERS,N,,STANDARD,30/09/13 0:00
INVOICES,162100,2-Nov-13,5,2034,ERS-8111-123346,N,Receipt Invoice automatically created on 19-SEP-06,,15 Net (terms date + 15),10013,19-Sep-13,19-Sep-13,USD,19-Sep-06,1,,26950,USD,26950,ERS,STANDARD,ERS,N,,STANDARD,19/09/13 0:00
INVOICES,163016,10-Nov-13,557,1233,ERS-8118-123851,N,Receipt Invoice automatically created on 10-NOV-06,,45 Net (terms date + 45),10003,10-Nov-13,10-Nov-13,USD,10-Nov-06,1,,390000,USD,390000,ERS,STANDARD,ERS,N,,STANDARD,10/11/13 0:00
INVOICES,152924,4-Jul-13,147,2033,ERS-8030-116584,N,Receipt Invoice automatically created on 04-JUL-06,,45 Net (terms date + 45),10003,4-Jul-13,4-Jul-13,USD,,,,35856,USD,35856,ERS,STANDARD,ERS,N,CHECK,SIZZLE,4/07/13 0:00
INVOICES,154331,19-Jul-13,11,15,ERS-23358-117767,N,Receipt Invoice automatically created on 19-JUL-06,,2/10 Net 45,10007,19-Jul-13,19-Jul-13,USD,,,,35.4,USD,35.4,ERS,STANDARD,ERS,N,EFT,EDI,19/07/13 0:00
INVOICES,163703,15-Nov-13,557,1233,ERS-8124-124198,N,Receipt Invoice automatically created on 15-NOV-06,,45 Net (terms date + 45),10003,15-Nov-13,15-Nov-13,USD,15-Nov-06,1,,472,USD,472,ERS,STANDARD,ERS,N,,STANDARD,15/11/13 0:00
INVOICES,164364,17-Nov-13,557,1233,ERS-8125-124371,N,Receipt Invoice automatically created on 17-NOV-06,,45 Net (terms date + 45),10003,17-Nov-13,17-Nov-13,USD,17-Nov-06,1,,2912,USD,2912,ERS,STANDARD,ERS,N,,STANDARD,17/11/13 0:00
INVOICES,164513,20-Nov-13,578,1275,ERS-8126-124411,N,Receipt Invoice automatically created on 20-NOV-06,,45 Net (terms date + 45),10003,20-Nov-13,20-Nov-13,USD,20-Nov-06,1,,507000,USD,507000,ERS,STANDARD,ERS,N,,SIZZLE,20/11/13 0:00
